Ticker,Date,Revision,Market cap,Volume
000030 KS,2017-10-27,-0.001745024,10507.6165,22.74065147
000060 KS,2017-11-15,0.015214123,2473.8353,4.676832752
000080 KS,2017-11-14,-0.010932824,1588.1563,4.94381132
000100 KS,2017-10-31,-0.133018845,2128.2039,9.686328334
000120 KS,2017-11-08,-0.142718344,3205.3041,5.439640395
000150 KS,2017-11-06,0.257641217,2460.2929,5.08740291
000210 KS,2017-11-03,0.172043707,2718.1398,9.627849815
000270 KS,2017-10-27,-0.017287339,12373.4431,34.79826092
000660 KS,2017-10-26,0.049265835,50889.3602,377.2395344
000720 KS,2017-10-27,-0.104363514,3922.752,14.85633921
000810 KS,2017-10-31,0.083693042,11565.7913,16.75229309
000830 KS,2015-07-24,-0.042509232,7951.6907,133.6729037
000880 KS,2017-11-15,0.003629324,2766.2903,10.1356758
000990 KS,2017-11-14,0.071195167,567.0074,5.896211564
001040 KS,2017-11-15,0.032652488,5207.141,15.37425176
001120 KS,2017-10-26,0.003122149,961.3266,4.231072909
001230 KS,2017-11-10,-0.277875228,924.0261,4.320034177
001300 KS,2014-04-28,-0.155387232,3300.945,25.96670358
001450 KS,2017-10-31,0.00987529,3625.5992,7.293597573
001680 KS,2017-11-15,-0.051703992,751.9683,3.49524581
001740 KS,2017-11-01,-0.103921559,1468.8037,7.974930868
001800 KS,2017-11-15,0,549.2268,5.820350193
002020 KS,2017-11-14,-0.407283825,732.292,14.19914534
002380 KS,2017-11-06,0.005382547,3844.0472,5.93545672
002790 KS,2017-10-30,0.009762494,11251.0606,16.05712456
003490 KS,2017-11-14,0.043362335,2611.3002,14.80863524
003550 KS,2017-11-15,0.077243471,13030.1874,21.36111759
003670 KS,2017-10-26,0.048155475,1495.3102,37.93005395
004020 KS,2017-10-30,0.013597729,6796.7985,16.53457187
004170 KS,2017-11-07,0.09835295,2013.8092,13.29838228
004370 KS,2017-11-15,-0.006612274,1849.2585,4.188223332
004800 KS,2017-11-10,-0.048251272,4214.9345,18.4935413
005380 KS,2017-10-26,0.003478805,31206.7313,72.68705617
005490 KS,2017-10-27,0.05600882,25671.6577,67.3295463
005830 KS,2017-11-15,0.005725975,4241.46,9.964428658
005880 KS,2017-11-14,-0.031747837,600.2298,8.766878851
005930 KS,2017-10-13,0.037402413,311082.1477,494.8386733
005940 KS,2017-10-27,-0.003544711,3524.3286,12.0112713
006120 KS,2017-11-15,0.185887329,1526.3088,4.117534417
006260 KS,2017-11-15,-0.091599024,2151.3833,5.861080886
006280 KS,2017-10-31,0.021530522,2205.1255,7.746394505
006360 KS,2017-10-30,-0.233920519,1720.3787,12.20830486
006400 KS,2017-11-01,0.002137854,12667.6681,74.3007489
006650 KS,2017-11-02,-0.002118622,1464.4643,9.924907882
006800 KS,2017-11-15,0.034771623,6005.5423,25.06835013
007070 KS,2017-11-08,-0.044635858,2463.7902,7.124366196
008560 KS,2017-11-01,0.150983548,2532.9463,7.808734806
008770 KS,2017-10-30,0.265705912,2441.319,20.44858275
009150 KS,2017-10-30,-0.009768613,6838.6836,71.83815093
009240 KS,2017-11-15,-0.03958578,3492.9959,12.00752848
009540 KS,2017-10-31,-0.088001864,7930.4435,34.11965198
009830 KS,2017-11-10,-0.03779815,4515.204,34.92295258
010060 KS,2017-11-01,0.343909683,2681.2953,33.34689239
010130 KS,2017-10-26,-0.022522397,8212.7282,17.82112967
010140 KS,2017-11-08,-0.160280046,4491.7184,26.50072503
010520 KS,2015-04-28,-0.073963318,1428.634,14.03777153
010620 KS,2017-10-31,0.428292362,1940.5494,11.57403889
010950 KS,2017-10-30,0.009943004,13009.6827,29.41420749
011070 KS,2017-10-26,-0.0129389,3532.4353,46.51627402
011170 KS,2017-10-31,0.043903627,11257.671,38.08272148
011210 KS,2017-10-30,-0.081565339,1665.0494,12.56559341
011780 KS,2017-11-01,0.090574926,1890.8801,7.56457028
011790 KS,2017-11-09,0.006889588,1336.163,6.359035834
012330 KS,2017-10-31,-0.000594489,21978.2764,51.04778798
012450 KS,2017-11-06,-0.055700419,1841.1695,14.25301541
012630 KS,2017-10-27,0.04602993,2624.7367,3.103991285
012750 KS,2017-10-27,-0.020618358,3098.3919,4.666647175
015760 KS,2017-11-14,-0.048873822,21904.4665,53.56423498
016360 KS,2017-11-13,0.005873878,2844.9642,7.75313383
017670 KS,2017-11-06,0.030614094,18875.8282,36.25384246
017800 KS,2017-11-14,0.030931264,1223.8386,4.309753327
018260 KS,2017-10-26,0.050941025,13228.2631,17.69373114
018880 KS,2017-11-08,0.010476104,5990.6448,18.48479792
020150 KS,2017-11-15,0,1534.6397,26.66295917
020560 KS,2017-11-09,0.147957683,813.1685,5.709003479
021240 KS,2017-11-08,-0.029995459,6585.1105,11.54245999
022100 KS,2017-10-26,0.023879409,947.9805,10.1591184
023530 KS,2017-10-27,-0.429043361,6894.7949,33.06027281
024110 KS,2017-10-30,0.078361458,7652.0881,14.83520777
027410 KS,2017-11-07,0.009162,3523.8104,3.71396715
028050 KS,2017-10-30,-0.087697427,2173.9709,16.8356294
028260 KS,2017-10-26,0.0474937,24615.6495,52.98920692
028670 KS,2017-11-14,0.058530792,2488.0061,14.85344689
029780 KS,2017-11-06,0.024390709,3920.5992,4.55577106
030000 KS,2017-10-31,0.054477485,1942.9357,3.857027286
030200 KS,2017-11-01,-0.015408937,6892.7468,20.06641962
032390 KS,2009-03-31,0.070088983,3814.3664,9.418810592
032640 KS,2017-11-02,0.01250216,5193.7878,20.86300829
032830 KS,2017-11-10,0.044227209,23647.8347,35.73867391
033780 KS,2017-10-26,-0.023483779,12865.2649,32.63080036
034020 KS,2017-11-06,-0.501953895,1644.0431,15.47291347
034220 KS,2017-10-25,-0.09041689,9334.1297,103.4534004
034230 KS,2017-11-07,0.24839952,1789.1511,21.68348691
034730 KS,2017-11-15,-0.043627118,18078.315,31.51426905
035250 KS,2017-11-09,-0.021539368,6655.5084,7.442361755
035420 KS,2017-10-26,0.002682066,24593.5519,64.57246784
035720 KS,2017-11-09,0.060536628,9235.6811,116.171726
035760 KS,2017-11-08,0.051224522,1079.6323,3.15758242
036460 KS,2017-11-14,-98.04372503,3442.149,7.627853501
036490 KS,2017-10-27,0.03754454,1705.0908,10.8536018
036570 KS,2017-11-09,-0.005451774,8242.2326,89.07308311
036930 KS,2017-10-30,-0.06495377,557.5514,16.31082186
037620 KS,2016-11-15,-0.0137354,2260.0032,4.84002024
039030 KS,2017-11-14,-0.048006309,1058.2497,5.80003058
039130 KS,2017-11-02,-0.065545487,1005.07,8.740610342
039490 KS,2017-11-14,0.003763916,1602.759,5.959183779
041510 KS,2017-11-15,0.32346741,697.5158,10.71838281
042660 KS,2017-11-09,0.278453864,1933.0687,43.37492146
042670 KS,2017-11-03,0.029722146,1771.5737,21.04023852
046890 KS,2017-10-25,0.056507942,1456.4213,17.12593215
047040 KS,2017-11-02,0.042984311,2552.2816,6.449621644
047050 KS,2017-10-27,-0.105638664,2136.888,5.906631388
047810 KS,2017-11-15,-0.706920459,4458.3027,60.71119054
048260 KS,2017-11-15,-0.088640508,959.5984,3.536281542
051370 KS,2017-10-26,0.40442517,1164.5663,15.45078299
051600 KS,2017-11-08,-0.080566051,1675.8237,7.216686391
051900 KS,2017-10-24,0.030243776,15628.4225,31.59615918
051910 KS,2017-10-27,0.04464948,24735.6924,98.07372695
