,,,,2019-09-17 00:00:00,size
001740 KS,01/Aug/2019,,30/Sep/2019,0.04693454283532361,445.0919807938067
006400 KS,30/Jul/2019,,30/Sep/2019,0.03377648550805801,342.70699607710014
006800 KS,09/Aug/2019,,30/Sep/2019,-0.031196609084739535,424.2797573118705
007070 KS,08/Aug/2019,,30/Sep/2019,-0.015369618824424225,305.25670966715103
007700 KS,14/Aug/2019,,30/Sep/2019,-0.06272997609891784,219.12561713287747
012450 KS,13/Aug/2019,,30/Sep/2019,0.08258569679188543,354.3370545368774
032500 KS,13/Aug/2019,,30/Sep/2019,0.15618313059768862,196.370492082827
033780 KS,07/Aug/2019,,30/Sep/2019,-0.02288916136383279,742.727860477538
034230 KS,13/Aug/2019,,30/Sep/2019,0.08707257583092298,191.94556386564625
035720 KS,08/Aug/2019,,30/Sep/2019,-0.0072307814795913306,389.8899507993474
047050 KS,23/Jul/2019,,30/Sep/2019,-0.0010217375372324478,400.97076869963377
047810 KS,30/Jul/2019,,30/Sep/2019,0.08472639823537098,411.8320153003567
056190 KS,13/Aug/2019,,30/Sep/2019,-0.010686664241636112,204.30664397475584
1066 HK,28/Aug/2019,,30/Sep/2019,-0.018287932089146586,176.3934352338666
1102 TT,14/Aug/2019,,30/Sep/2019,-0.026575568643340097,523.9599574994689
1157 HK,30/Aug/2019,,30/Sep/2019,0.02803370894206836,340.2612969252395
1171 HK,30/Aug/2019,,30/Sep/2019,0.0486396457074989,461.2613486428188
1478 HK,12/Aug/2019,,30/Sep/2019,0.14545357071876186,165.64668755277447
1658 HK,20/Aug/2019,,30/Sep/2019,0.013014017141762091,387.49945202516733
1910 HK,21/Aug/2019,,30/Sep/2019,-0.015833260107777747,224.9411264320609
2013 HK,28/Aug/2019,,30/Sep/2019,-0.04087358646729433,132.38704948032512
2020 HK,26/Aug/2019,,30/Sep/2019,-0.05634078838071899,430.16664218695826
2127 JP,31/Jul/2019,,30/Sep/2019,0.009309551317732812,225.80776300440263
2269 HK,19/Aug/2019,,30/Sep/2019,-0.058512876492730514,405.3549405570049
