,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner
SAP CN,2019-08-21,2019-08-21,2019-08-21,2019-08-21,SAP CN,Saputo Inc,346.498,10.102,39.6,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",12159.9,1.515155435,0.9848523736,12159.9,17.49524145347019,"BMO Capital Markets, National Bank Financial Inc"
LSPD CN,2019-08-12,2019-08-15,2019-08-12,2019-08-15,LSPD CN,Lightspeed POS Inc,164.26,5.3996,35.0,"ADDL,Secondary Share Offering,Rule 144A",0.0,27.94285774,26.02857208,3054.9099,10.926450853403725,"JP Morgan, National Bank Financial Inc, BMO Capital Markets"
NGD CN,2019-08-08,2019-08-08,2019-08-08,2019-08-08,NGD CN,New Gold Inc,113.267,93.75,1.6,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",812.943,-3.750001431,-1.490116119e-06,812.943,6.219611011949495,BMO Capital Markets
OR CN,2019-06-25,2019-06-25,2019-06-25,2019-06-25,OR CN,Osisko Gold Royalties Ltd,96.4888,7.85,14.1,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Bought Deal",1527.33,-3.829789877,-1.347520351,1527.33,6.152083259144397,"BMO Capital Markets, CIBC"
LABS CN,2019-05-28,2019-05-28,2019-05-28,2019-05-28,LABS CN,MediPharm Labs Corp,55.6029,13.514,5.55,"ADDL,Primary Share Offering,Bought Deal,REG S,Rule 144A",0.0,-1.981985331,-4.684688091,507.5767,12.033443433828657,"BMO Capital Markets, GMP Securities, Scotiabank"
CJR/B CN,2019-05-14,2019-05-14,2019-05-14,2019-05-14,CJR/B CN,Corus Entertainment Inc,407.013,80.6304,6.8,"ADDL,Secondary Share Offering,Bought Deal,REG S,Rule 144A",1052.9,-5.588237762,-6.764708519,1052.9,5.860910777323218,TD Securities
PDL CN,2019-04-04,2019-04-04,2019-04-04,2019-04-04,PDL CN,North American Palladium Ltd,56.1746,5.77,13.0,"ADDL,Secondary Share Offering,Bought Deal,Rule 144A",572.853,-3.307692289,-5.307692528,572.853,2.829082210159322,"BMO Capital Markets, RBC Capital Markets"
SIS CN,2019-04-01,2019-04-01,2019-04-01,2019-04-01,SIS CN,Savaria Corp,53.1076,5.0,14.15,"ADDL,Primary Share Offering,Private Placement,Bought Deal,QIP",0.0,-5.229679585,-5.653707504,511.6885,2.965483247899838,"Cormark Securities Inc, Laurentian Bank of Canada, PI Financial Corp, TD Securities, Desjardins Capital Markets"
NPI CN,2019-03-18,2019-03-18,2019-03-18,2019-03-18,NPI CN,Northland Power Inc,645.585,32.12,23.35,"ADDL,Secondary Share Offering,Bought Deal",3132.01,0.2997842431,1.541754246,3132.01,17.172650610657556,CIBC
ATZ CN,2019-02-19,2019-02-19,2019-02-19,2019-02-19,ATZ CN,Aritzia Inc,249.421,19.505,16.9,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Bought Deal,REG S,Rule 144A",0.0,-4.142009735,-3.076920986,1624.766,5.426812089137223,"RBC Capital Markets, TD Securities, CIBC"
IPL CN,2018-10-30,2018-10-30,2018-10-30,2018-10-30,IPL CN,Inter Pipeline Ltd,152.268,9.62,20.8,"ADDL,Primary Share Offering,Bought Deal",0.0,10.2884655,9.807696342,6177.178,33.77324674879274,TD Securities
AFN CN,2018-10-03,2018-10-03,2018-10-03,2018-10-03,AFN CN,Ag Growth International Inc,89.8185,1.63,61.5,"ADDL,Primary Share Offering,Bought Deal",879.198,-9.317072868,-7.105690956,879.198,2.3173718179327776,"National Bank Financial Inc, CIBC"
EFN CN,2018-10-01,2018-10-01,2018-10-01,2018-10-01,EFN CN,Element Fleet Management Corp,269.695,45.5,6.6,"ADDL,Primary Share Offering,REG S,Rule 144A",0.0,28.78787994,25.00000191,1991.1677,11.779609109600257,"Barclays, BMO Capital Markets, National Bank Financial Inc, RBC Capital Markets, TD Securities, CIBC"
GTII CN,2018-09-25,2018-09-25,2018-09-25,2018-09-25,GTII CN,Green Thumb Industries Inc/CA,78.5262,4.42,20.0,"ADDL,Primary Share Offering,Bought Deal",0.0,17.5,18.54999924,2329.4174,4.496221038577092,GMP Securities
DOO CN,2018-09-11,2018-09-14,2018-09-11,2018-09-14,DOO CN,BRP Inc,408.9,8.7,47.0,"ADDL,Secondary Share Offering,Dual Listing",0.0,-3.661536455,-1.686375737,5611.9662,13.180826205971291,"CIBC, Citi, Desjardins Capital Markets, Goldman Sachs, Morgan Stanley, National Bank Financial Inc, RBC Capital Markets, Robert W Baird & Co, TD Securities, UBS, Wells Fargo, BMO Capital Markets"
STLC CN,2018-09-04,2018-09-05,2018-09-04,2018-09-05,STLC CN,Stelco Holdings Inc,150.003,8.0,22.65,"ADDL,Secondary Share Offering,REG S,Rule 144A",1537.07,1.545255542,3.046359301,1537.07,3.40014756872394,"BMO Capital Markets, Goldman Sachs"
TOY CN,2018-08-07,2018-08-07,2018-08-07,2018-08-07,TOY CN,Spin Master Corp,114.45,2.7948,53.4,"ADDL,Secondary Share Offering,Bought Deal,REG S,Rule 144A",1152.46,-2.528092623,-3.389515877,1152.46,8.268280911361623,"TD Securities, RBC Capital Markets"
