,1287366D CN,SAP CN,1374430D CN,1413355D CN,1413620D CN,1457122D CN,1480640D CN,1641774D CN,9944556D CN,9991111D CN,AAV CN,ABX CN,AC CN,ACQ CN,AD CN,ADVZ CN,AFN CN,AGI CN,AGT CN,AKG CN,ALA CN,ANV CN,AOI CN,APHA CN,AQN CN,ARX CN,ATD/B CN,ATP CN,ATZ CN,AVO CN,AVR CN,BAM/A CN,BBD/B CN,BCB CN,BCE CN,BCM CN,BDI CN,BIR CN,BNK CN,BNP CN,BNS CN,BTE CN,BXE CN,CCL/B CN,CEU CN,CGA CN,CHR CN,CIX CN,CJ CN,CJR/B CN,CLT CN,CNE CN,CPG CN,CPX CN,CR CN,CRON CN,CSU CN,CUS CN,CVE CN,CWB CN,DGC CN,DH CN,DHX CN,DML CN,DOL CN,DOO CN,DRM CN,DSG CN,ECA CN,EDV CN,EFN CN,EFX CN,EIF CN,ELR CN,EMA CN,ENB CN,ENF CN,ERF CN,FFH CN,FGE CN,FIH/U CN,FM CN,FNV CN,FRU CN,FSZ CN,FTS CN,FVI CN,GBG CN,GEI CN,GOOS CN,GRO CN,GS CN,GTE CN,GTII CN,GUD CN,GUY CN,GXO CN,H CN,HBC CN,HBM CN,HSE CN,IAG CN,IAU CN,IE CN,IFP CN,IMG CN,IPL CN,IVN CN,K CN,KEL CN,KEY CN,LABS CN,LB CN,LEAF CN,LEG CN,LIM CN,LRE CN,LSG CN,LSPD CN,MAG CN,MBT CN,MEG CN,MFI CN,MFL CN,MNW CN,MTL CN,NA CN,NG CN,NGD CN,NKO CN,NML CN,NPI CN,NVA CN,OGC CN,OPT CN,OR CN,ORA CN,OSB CN,OTEX CN,P CN,PDL CN,PEY CN,PG CN,PGF CN,PKI CN,PONY CN,POU CN,PPL CN,PRU CN,PRY CN,PSK CN,PSN CN,PTM CN,PVG CN,PXT CN,PXX CN,QEC CN,QTRH CN,RMX CN,RNW CN,RR CN,RRX CN,SBB CN,SCL CN,SES CN,SGR/H CN,SGY CN,SHOP CN,SIA CN,SII CN,SIS CN,SJ CN,SMF CN,SNM CN,SPB CN,SPE CN,SSL CN,STEP CN,STLC CN,STP CN,SU CN,SVI CN,SVM CN,TA CN,TCN CN,TCW CN,TD CN,TDG CN,TET CN,TGL CN,THO CN,TKM CN,TOG CN,TOU CN,TOY CN,TRP CN,TSGI CN,TXG CN,U CN,VEN CN,VET CN,VII CN,VSN CN,WCP CN,WEED CN,WEF CN,WPM CN,WSP CN,WSX CN,XRC CN,YRI CN,ZZZ CN,PT1 Index
2010-01-01 00:00:00,,13.0223,12.9997,2.3958,6.9139,1.6796,,5.8155,24.9491,35.7234,6.8676,36.9632,1.3098,2.6479,4.5676,,20.477,11.5764,23.589199999999998,6.6471,10.5821,15.9115,1.1817,,2.5886,12.5224,6.446,7.2496,,,0.6346,12.719,4.2514,7.44,17.585,3.8994,5.3429,8.7478,6.2443,13.6117,33.2967,21.1029,160.6079,4.9938,0.9396,2.0757,1.6179999999999999,14.6201,,10.6346,10.4456,6.4939,22.721,12.1138,14.6415,,30.9043,3.5656,20.6871,16.8464,17.7861,11.2933,0.7472,1.1172,3.5613,,,6.3004,27.7532,17.7667,,,6.4273,9.327,16.419,16.6446,7.8333,14.7203,325.8578,9.5164,,15.2768,24.6806,7.6511,3.2634,20.0049,2.0855,1.804,,,0.6227,9.23,6.011,361.6816,,7.9709,1.9535,,,12.693999999999999,21.6753,24.3374,0.2772,63.7684,4.6767,15.3752,6.0802,,18.6454,,7.85,,27.9529,,9.6165,3.05,6.1609,4.1002,,6.3091,23.2877,,10.1235,10.8147,,10.643,20.1597,5.7073,3.7705,97.2217,0.5316,6.7049,12.205,1.6341999999999999,39.4699,,450.9411,9.8533,9.6289,4.0316,1403.9955,8.6934,4.1636,6.3619,7.572,5.7619,13.7599,10.349,,0.5462,,,219.2095,,4.1,2.5528,2.8988,1.904,805.3267,,3.9233000000000002,,1.2464,24.3213,,3.6181,2.1007,,,2.9112,0.5412,5.7965,4.2719,0.396,7.1734,3.8152,2.7117,,,1.0066,29.334,0.1474,6.1898,14.4814,,12.755,23.1755,5.7875,7.6814,3.0151,,4.6753,15.2191,,,24.3038,,11.1818,6.5817,8.1171,18.7833,,5.5267,1.4329,,0.1553,14.0908,17.6163,4.3362,6.183,10.4062,,690.6974
2010-01-04 00:00:00,,12.9812,13.2846,2.4637000000000002,7.0359,1.7919,,5.8189,25.0937,35.3765,7.0323,37.3907,1.2877,2.7653,4.7442,,20.5068,11.8936,23.8044,6.8613,10.6205,16.5953,1.2636,,2.6366,12.8226,6.4531,7.3361,,,0.6616,12.6704,4.2692,7.361,17.6285,3.9962999999999997,5.7415,8.9479,6.3944,13.8791,32.8693,21.3717,185.149,4.9518,0.947,2.0517,1.6115,14.6535,,10.7545,10.4902,7.1089,22.8176,12.118,14.9339,,30.8964,3.6296,21.3037,16.7869,18.1411,11.2837,0.7756,1.1376,3.5648999999999997,,,6.2636,28.5684,18.1747,,,6.5134,9.6767,16.3798,16.4987,7.7931,14.9091,325.0249,9.6849,,15.6084,24.8745,7.7025,3.3133,19.9043,2.2166,1.859,,,0.6562,9.0807,6.24,358.4008,,8.1396,1.9535,,,12.9724,21.9698,24.4784,0.2887,65.0985,4.6994,15.6591,6.0872,,19.0027,,7.7782,,27.9005,,9.7418,3.1134,6.0911,4.062,,6.3513,23.4923,,10.0612,11.0815,,10.6604,20.1055,5.9204,3.9299,97.6709,0.5669,6.6896,12.4321,1.7187999999999999,39.3432,,463.6205,10.0998,9.5636,4.3656,1480.5892,8.7633,4.1952,6.4526,7.5938,5.8663,13.8608,10.332699999999999,,0.5462,,,232.6554,,4.1608,2.6661,3.3421,1.9262000000000001,831.4508,,4.1531,,1.3153000000000001,24.3246,,3.7323,2.167,,,2.9108,0.5412,5.8071,4.4549,0.422,7.2386,3.9247,2.8376,,,0.9885,29.9568,0.1474,6.4118,14.499,,12.9969,23.1656,5.9491,7.7138,3.0245,,4.6,16.7348,,,24.3282,,11.5048,6.6818,8.1588,18.8959,,5.5225,1.4329,,0.1549,14.521,17.6371,4.4077,6.3265,10.651299999999999,,696.6378
2010-01-05 00:00:00,,12.963,13.3499,2.5322,6.9848,1.6871,,5.707,25.0395,35.2114,7.2523,37.4743,1.2725,2.8944,4.9741,,20.468,11.8169,23.9496,6.6991,10.6661,16.5161,1.2548,,2.6802,12.9649,6.3596,7.3583,,,0.7272,12.7418,4.2975,7.4463,17.4433,3.8727,5.9633,8.9004,6.5009,14.1238,32.6756,21.2442,207.5088,5.0226,0.9566,2.0585,1.5964,14.4636,,10.8787,10.4148,7.2626,22.6587,12.1684,14.8281,,31.2691,3.6432,21.4005,16.7019,18.3335,11.3639,0.8398,1.2471,3.5289,,,6.2087,29.0219,18.4908,,,6.5139,9.7016,16.1923,16.5321,7.7486,14.9002,323.4268,9.8,,15.7455,25.0469,7.7191,3.3765,19.7903,2.4282,1.9178,,,0.6597,9.0391,6.2748,367.1946,,8.1874,1.9415,,,12.7217,21.955,24.4256,0.2883,67.8232,4.9692,15.4814,6.0813,,19.1783,,7.7548,,27.8344,,9.8018,3.1034,5.7896,4.084,,6.3561,23.7051,,9.8141,11.135,,10.7083,20.051,5.9664,3.9775,97.6516,0.6004,6.6211,12.5147,1.7391,41.308,,456.424,10.3943,9.5701,4.78,1443.8894,8.998,4.0983,6.5575,7.5656,5.7791,14.0535,10.3868,,0.5462,,,226.1966,,4.2843,2.6612,3.2568,1.9386999999999999,826.184,,4.178,,1.3115999999999999,23.9218,,3.6745,2.1697,,,3.0025,0.5412,5.8281,4.4769,0.4331,7.2066,4.0135,2.8477,,,0.9811,30.3314,0.1474,6.4312000000000005,14.458,,12.9598,23.1559,6.4001,7.6032,3.0803,,4.6377,17.2465,,,24.1281,,12.8055,6.816,7.9589,18.7473,,5.491,1.4329,,0.1555,14.8969,17.6027,4.5864,6.2628,10.7105,,699.6614
2010-01-06 00:00:00,,12.8852,13.3562,2.5313,7.0289,1.7657,,5.6603,25.3902,34.3357,7.5134,38.3926,1.3047,3.3225,4.7937,,20.5484,11.924900000000001,24.081,6.7761,10.7086,16.5489,1.2689,,2.638,13.356,6.3299,7.3846,,,0.7213,12.5988,4.404,7.5244,17.3356,3.9626,5.9985,8.9145,6.5674,14.378,32.2617,21.3787,222.0492,5.0043,0.978,2.1031,1.6246,14.344,,10.9095,10.7469,6.9159,22.8145,12.1522,15.2248,,31.1241,3.6523,21.1068,16.2745,18.4681,11.4086,0.8972,1.3141,3.5842,,,6.2054,29.2025,18.8073,,,6.5084,10.5535,16.1664,16.3617,7.7337,14.9714,322.9197,9.6811,,16.2909,25.9932,7.8256,3.4061,19.8487,2.5525,1.9609999999999999,,,0.6346,9.1635,5.8037,367.1946,,8.2052,1.9954,,,12.9315,21.7223,24.7677,0.3076,69.8249,4.907,15.5336,6.145,,19.9526,,7.7512,,27.5997,,9.8516,3.0563,5.691,4.0803,,6.5579,23.8311,,9.7526,11.2402,,10.6533,20.1411,6.1411999999999995,4.0078,100.9124,0.6609,6.6161,12.554,1.7635,42.0346,,451.8055,10.364,9.58,5.0154,1513.7936,9.0682,4.129,6.701,7.5602,5.8601,14.6066,10.3997,,0.5462,,,233.9384,,4.6506,2.7404,3.4685,1.9218,842.8548,,4.2051,,1.3199,23.9314,,3.707,2.1865,,,3.0375,0.5521,5.9193,4.5881,0.4224,7.2062,4.4067,2.8031,,,1.0076,30.6667,0.1474,6.6878,14.4448,,13.0513,22.9794,6.499,7.569,3.1949,,4.677,18.3168,,,24.0845,,13.0853,6.8286999999999995,7.7017,19.2356,,5.4977,1.6985999999999999,,0.1555,15.3396,17.5543,4.6973,6.4331,10.9574,,701.1779
2010-01-07 00:00:00,,12.8554,13.2143,2.4976,7.0198,1.7038,,5.4464,25.2273,34.2988,7.4176,37.7656,1.3186,3.298,4.5142,,20.8082,12.0543,24.0576,6.9926,10.737400000000001,16.413,1.2864,,2.6188000000000002,13.2571,6.3765,7.4683,,,0.694,12.556799999999999,4.5368,7.5169,16.9667,4.0446,5.9872,8.8701,6.396,14.5408,31.8,21.443,224.6615,4.9884,0.9862,2.178,1.6356000000000002,14.1256,,10.6778,10.8476,6.91,22.6145,12.1455,15.4264,,31.1219,3.643,20.966,16.0805,18.4199,11.4362,0.8363,1.2894,3.5853,,,6.2501999999999995,29.1783,18.5616,,,6.5649,11.8591,16.0776,16.1224,7.6585,14.994299999999999,319.2254,9.6822,,16.3938,26.1624,7.8196,3.3819,19.6655,2.4608,1.964,,,0.6304,9.2925,5.817,376.1785,,8.0288,1.9535,,,13.5551,21.7555,24.6088,0.3034,69.107,4.9131,15.2487,6.145,,20.0124,,7.7249,,27.4257,,9.8384,2.9744,5.7372,3.9997,,6.5484,23.9527,,9.7263,11.1209,,10.7198,19.8407,6.1123,4.3213,103.5106,0.6907,6.7717,12.5197,1.7587000000000002,41.7468,,454.3461,10.366,9.505,4.9338999999999995,1620.5503,8.7914,4.1339,6.7411,7.5558,5.8552,14.644,10.3806,,0.5462,,,240.1606,,4.6592,2.7473,3.4638999999999998,2.0655,852.9735,,4.0803,,1.2865,24.1388,,3.6109,2.1947,,,3.0646,0.573,6.0207,4.5051,0.4382,7.2006,4.4369,2.8222,,,1.0335,30.3952,0.1474,6.7598,14.1796,,13.086,22.6881,6.4923,7.5007,3.2137000000000002,,4.6967,18.2464,,,23.7425,,13.6351,6.7972,7.3801,19.5127,,5.4929,1.7553,,0.1551,15.3877,17.5271,4.8712,6.499,11.0139,,695.6591
2010-01-08 00:00:00,,12.7854,13.2651,2.5276,6.9504,1.6963,,5.4801,25.4876,34.4321,7.4564,37.7561,1.3191,3.2392,4.5944,,20.8559,12.1647,23.9037,7.0553,10.7338,16.5268,1.3384,,2.6763,13.4905,6.3743,7.5795,,,0.7137,12.6634,4.5948,7.4425,16.8675,4.2457,5.9874,9.2927,6.3972999999999995,14.669,31.9199,21.5979,222.8938,5.0372,0.9876,2.1821,1.6760000000000002,14.0291,,10.6196,10.6731,6.8218,22.5246,12.2354,15.2091,,30.9684,3.6624,21.0471,15.8095,18.48,11.4227,0.8552,1.293,3.566,,,6.2148,28.9272,18.3914,,,6.5693,12.0767,16.1326,16.2314,7.6002,14.978,317.4156,9.8134,,17.4142,26.6159,7.8363,3.4007,19.9272,2.7106,2.025,,,0.6438,9.2715,5.7783,340.7822,,8.0907,1.9535,,,13.8717,21.697400000000002,24.8627,0.3044,68.7732,4.772,15.9215,6.1539,,20.1691,,7.7463999999999995,,27.2524,,9.8434,3.0087,5.5896,3.985,,6.8578,24.1579,,9.6921,11.2236,,10.5951,19.6883,6.1422,4.6676,102.8088,0.6929,6.8552,12.4665,1.7637,42.7966,,454.6699,10.2861,9.5238,4.763,1614.4992,8.8503,4.1306,6.7185,7.5062999999999995,6.2399000000000004,14.7209,10.3845,,0.5462,,,238.1792,,4.6304,2.7685,3.4774,2.2654,846.7359,,4.2068,,1.3133,24.5164,,3.6443,2.2281,,,2.9661999999999997,0.573,5.989,4.5535,0.4758,7.2506,4.6792,2.7981,,,1.1227,30.322,0.1474,6.7773,14.3132,,13.0903,22.6235,6.3827,7.5017,3.3087,,4.0418,18.7731,,,23.6886,,13.614,6.7543,7.3906,19.6681,,5.4781,1.4329,,0.1553,15.5769,17.5972,4.91,7.0799,11.0832,,697.7595
2010-01-11 00:00:00,,12.7538,13.2186,2.5504,7.0068,1.5946,,5.6193,25.6677,34.2447,7.5436,38.3183,1.3044,3.3865,4.5944,,20.7683,12.6444,23.7026,7.1638,10.6682,16.7553,1.3839000000000001,,2.7733,13.5712,6.3822,7.5953,,,0.7461,12.5721,4.6696,7.48,16.9361,4.369,5.9817,9.622,6.3484,14.7449,31.8572,21.898,224.6036,5.0619,1.0221,2.2857,1.6282999999999999,14.1348,,10.5643,10.4989,6.4867,22.7492,12.2569,15.0644,,30.9521,3.659,21.0863,15.8718,18.8049,11.3624,0.8464,1.298,3.4974,,,6.2858,28.9948,18.4793,,,6.7158999999999995,13.2551,16.1904,16.1458,7.6026,15.0663,316.1299,9.9226,,17.9525,27.2993,8.0463,3.4281,19.8051,2.8975999999999997,2.0525,,,0.6683,9.3351,5.6388,336.0548,,8.1379,1.9201000000000001,,,14.096,21.6343,25.0383,0.3033,67.5803,4.6782,16.6378,6.219,,20.611,,7.8745,,26.9232,,9.8098,3.2415,5.4617,4.0355,,7.1011,24.1123,,9.6705,11.6455,,10.6801,19.7885,6.3976,5.0388,103.7104,0.7572,6.9447,12.5071,1.7963,43.6948,,470.1029,10.4715,9.5012,4.7082,1719.0177,8.8941,4.1491,6.9047,7.5463000000000005,6.4,14.914,10.4247,,0.5462,,,252.4089,,4.6087,2.8026,3.5220000000000002,2.2477,868.6865,,4.2254,,1.3858,24.8014,,3.7119999999999997,2.2281,,,3.1448,0.573,5.8948,4.6543,0.4914,7.3215,5.2465,2.8674,,,1.1562999999999999,30.3872,0.1474,6.8125,14.4579,,13.1771,22.7244,6.3888,7.6321,3.343,,4.1325,18.8366,,,23.7247,,13.7205,6.6059,8.231,19.8552,,5.4837,1.4329,,0.1554,16.1622,17.645,5.0166,7.3799,11.5556,,701.6538
2010-01-12 00:00:00,,12.7641,12.8745,2.5441000000000003,6.7958,1.5232,,5.5032,25.741,33.3917,7.3109,37.3967,1.3054000000000001,3.1286,4.6201,,20.6686,12.7349,23.6335,6.9544,10.5685,16.6112,1.3389,,2.7499000000000002,13.4788,6.5501000000000005,7.5601,,,0.7052,12.452,4.6969,7.4198,17.0561,4.1745,5.8547,8.9625,6.1629,14.4148,31.3808,21.6507,211.8071,4.9665,1.0256,2.2385,1.6031,14.0903,,10.6155,10.2277,6.2437,22.6628,12.1902,14.71,,31.3745,3.622,20.6674,16.1201,18.2503,11.3279,0.9133,1.3001,3.3966,,,6.502,28.8238,18.155,,,6.8046,12.4864,16.0906,16.1065,7.4725,14.8991,316.9997,9.9217,,17.2005,26.3662,8.0324,3.4325,19.8766,2.7155,1.9922,,,0.6784,9.2969,5.6851,349.3667,,7.4386,1.9655,,,13.3926,21.4588,25.1099,0.2994,64.5157,4.6981,16.1634,6.2364,,20.2091,,7.9684,,26.8559,,9.7274,3.2964,5.6154,3.958,,6.7972,24.4228,,9.5523,11.5426,,10.5849,19.5882,6.1672,4.7614,104.9582,0.7628,6.8694,12.1803,1.7256,43.3982,,469.7103,10.5471,9.4106,4.4977,1708.9207,8.8485,4.1728,6.8872,7.5274,6.1737,14.8652,10.3659,,0.5462,,,263.0253,,4.5975,2.7887,3.3576,2.1359,845.0531,,4.2887,,1.4102999999999999,24.8216,,3.6297,2.1773,,,3.1336,0.5667,5.927,4.5647,0.4876,7.2406,4.8905,2.8270999999999997,,,1.1159,29.6894,0.1474,6.5667,14.4392,,13.0964,22.6997,6.1213,7.6004000000000005,3.306,,4.1009,18.1408,,,23.7495,,13.795,6.572,7.7163,19.6367,,5.458,1.4567999999999999,,0.1542,15.8341,17.6347,5.0065,7.0395,11.2393,,691.7286
2010-01-13 00:00:00,,12.879,12.7158,2.5445,6.8728,1.5341,,5.4354,25.6592,32.7622,7.3258,36.9686,1.31,3.1743,4.6379,,20.7217,12.7998,23.7558,6.9608,10.5197,16.4899,1.2811,,2.7802,13.4361,6.5596,7.5352,,,0.7013,12.4235,4.8869,7.398,17.2283,4.1498,5.9127,8.9968,6.1637,14.3875,31.4586,21.4538,216.9584,4.9433,1.024,2.3853,1.5845,14.2255,,10.4579,10.1467,6.1112,22.6057,12.1765,14.4897,,31.2992,3.5965,20.7678,15.9902,17.8566,11.2666,0.9,1.2955,3.3862,,,6.6565,29.1157,18.3931,,,6.7317,12.1865,16.1268,16.003,7.4333,14.7499,317.2799,9.984,,17.3267,26.4021,8.0566,3.3945,19.7666,2.677,1.9504000000000001,,,0.7116,9.3889,5.574,348.6605,,7.1012,1.9716,,,13.4546,21.4082,25.03,0.2957,64.3766,4.7931,16.1416,6.2786,,20.0274,,8.1234,,26.6728,,9.7505,3.57,5.9798,3.8938,,6.8601,24.3754,,9.5442,11.3326,,10.6072,19.6807,5.9219,4.6758,105.7326,0.7604,6.8473,11.8655,1.6817,47.6257,,463.1933,10.6909,9.4278,4.7176,1684.8571,8.7497,3.999,6.7721,7.509,6.2466,14.9181,10.3343,,0.5462,,,251.7506,,4.5722000000000005,2.7819000000000003,3.5916,2.0806,838.1359,,4.2762,,1.4281,25.4404,,3.6285,2.1605,,,3.0598,0.5317,6.0352,4.5868,0.4788,7.2101,5.0234,2.8029,,,1.1497,29.3369,0.1474,6.4268,14.5021,,12.8501,22.831,6.1521,7.6129999999999995,3.2127,,4.0141,17.848300000000002,,,23.6321,,13.6549,6.563,8.0361,19.3825,,5.4747,1.4567999999999999,,0.152,15.6999,17.5792,4.9373000000000005,7.0708,10.8043,,689.145
2010-01-14 00:00:00,,12.9354,12.8938,2.465,6.8629999999999995,1.5345,,5.4077,25.711,34.9024,7.3234,36.7626,1.3208,3.1351,4.6146,,20.5586,12.8042,24.745,7.0151,10.6067,16.4957,1.2946,,2.8058,13.2854,6.5945,7.5798,,,0.7038,12.3776,4.8370999999999995,7.4672,17.103,4.1698,5.9062,9.1656,6.4186,14.5432,31.3435,21.879,230.126,4.7821,1.0277,2.4098,1.5724,14.683,,10.2714,10.031,6.2712,22.490099999999998,12.1059,14.9468,,31.2609,3.6071,20.6677,16.0869,17.736,11.3032,0.8931,1.3727,3.3830999999999998,,,6.6902,29.3141,18.443,,,6.7129,12.9939,16.2115,15.9138,7.4627,14.7166,314.4116,10.4233,,17.9591,26.3178,8.1177,3.4429,19.8321,2.6491,1.9571,,,0.7287,9.5281,5.4757,339.2908,,6.8859,1.9632,,,13.297,21.211,25.0806,0.3006,65.1445,4.7512,16.2606,6.3256,,20.0352,,8.0861,,26.6523,,9.7962,4.2018,6.0252,3.9255,,7.0431,24.3965,,9.3786,11.5247,,10.7948,19.8337,6.0144,4.5037,105.0598,0.7609,6.859,11.8898,1.7043,49.8146,,452.5208,10.7868,9.757,4.5952,1792.6676,8.8871,4.0031,6.8026,7.5186,6.3679,15.896,10.439,,0.45,,,250.8449,,4.5371,2.8001,3.7747,2.1464,840.5954,,4.3548,,1.4351,24.7239,,3.7023,2.1847,,,3.1145,0.5317,5.9505,4.5671,0.4849,7.2718,5.2174,2.8236,,,1.1599,29.5458,0.1022,6.3719,14.5635,,13.0515,22.7964,6.2457,7.654,3.2809,,3.8270999999999997,20.9191,,,23.5203,,13.5062,6.5348,7.9446,19.5285,,5.53,1.4567999999999999,,0.1529,15.8032,17.5958,5.0484,7.054,10.6002,,690.0047
