Europe,Date,Revision,Market cap,Volume
CPR IM,07/11/2017,-0.023986202,,16.3919734
BNP FP,31/10/2017,-0.021403592,97500.438,189.7736637
RF FP,28/07/2017,-0.012667204,5918.7251,7.773263166
BOKA NA,17/08/2017,-0.059014993,4462.2048,14.06035969
GKN LN,26/07/2017,-0.002894913,7394.3666,28.78552568
GLE FP,03/11/2017,-0.040317691,42840.411,154.0548624
TLW LN,26/07/2017,-29.01181102,2993.8732,21.20171468
ROR LN,08/08/2017,-0.013032991,2634.3141,6.734294886
CSGN SW,02/11/2017,0.014425313,41786.1245,137.9847972
STB NO,25/10/2017,0.046689936,3831.1446,11.49482343
WPP LN,23/08/2017,-0.020889202,23114.5627,74.98015577
REP SM,03/11/2017,0.022293732,28205.161,99.51685767
HSX LN,31/07/2017,0.01626345,4902.1613,8.710043028
GBF GR,14/11/2017,-0.303977992,1902.0123,5.637890823
G1A GR,03/11/2017,-0.01146078,9354.0031,22.33558319
POM FP,21/07/2017,0.04055922,5868.2393,6.928036733
FLS DC,09/11/2017,-0.120674047,3109.219,8.25746599
CA FP,31/08/2017,-0.200707387,17982.4407,50.58752379
LNZ AV,15/11/2017,-0.109822543,3226.3401,7.981944605
MKS LN,08/11/2017,0.010954223,7095.1478,32.87587392
SK FP,26/07/2017,-0.011138339,9044.3072,7.3654461
HAS LN,31/08/2017,0.028037383,3405.0874,5.168277436
ANTO LN,25/10/2017,0.052517055,12876.8086,32.67886686
PNN LN,29/11/2017,-0.000673939,4494.4083,9.354980831
FERG LN,03/10/2017,-0.00797294,16978.473,38.32089816
ORK NO,25/10/2017,-0.03550554,10537.6426,13.37792925
SIK SW,26/10/2017,-0.002798664,18401.5786,36.56378806
RYA ID,31/10/2017,-0.02370892,23188.3094,41.30694011
TEN IM,02/11/2017,0.057895026,16239.3771,36.81078339
DNO NO,09/11/2017,0.169789357,1419.7509,15.35598745
LIN GR,27/10/2017,0.008515742,40681.704,107.4776654
FI/N SW,19/07/2017,0.084539092,4755.598,9.282369848
HEIA NA,25/10/2017,0.001526447,55863.459,73.78834882
COLR BB,13/12/2017,-0.022292898,7869.0085,14.49670163
SCAB SS,31/10/2017,0.027574961,6614.3866,20.91210158
SGSN SW,17/07/2017,-0.004415217,18371.7954,35.08085202
LDO IM,10/11/2017,-0.184184948,9495.5652,24.01652659
