,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Type,Market cap,ADV,Bookrunner.1
LIGHT NA,2019-09-19,2019-09-19,2019-09-19,2019-09-19,LIGHT NA,Signify NV,394.77,13.8,25.9,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3671.48,-2.509651184,-2.509651184,Morgan Stanley,Stocks,3671.48,11.729646388929417,Morgan Stanley
TRN LN,2019-09-19,2019-09-20,2019-09-19,2019-09-20,TRN LN,Trainline PLC,355.9,65.5,435.0,"ADDL,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit",2610.56,,,"Kohlberg Kravis Roberts & Co, JP Morgan, Morgan Stanley",Stocks,2610.56,2.202653459241107,"Kohlberg Kravis Roberts & Co, JP Morgan, Morgan Stanley"
SOI FP,2019-09-16,2019-09-17,2019-09-16,2019-09-17,SOI FP,SOITEC,107.887,1.0775,91.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement,REG S,Rule 144A",3288.94,4.175824165,2.802197695,"BNP Paribas, Societe Generale",Stocks,3288.94,8.300691448039725,"BNP Paribas, Societe Generale"
ALO FP,2019-09-11,2019-09-12,2019-09-11,2019-09-12,ALO FP,Alstom SA,1187.16,29.15,37.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",9189.25,1.756756783,3.486486435,"Bank of America Merrill Lynch, BNP Paribas, JP Morgan, Societe Generale",Stocks,9189.25,19.171372652219294,"Bank of America Merrill Lynch, BNP Paribas, JP Morgan, Societe Generale"
SF SS,2019-09-11,2019-09-12,2019-09-11,2019-09-12,SF SS,Stillfront Group AB,77.4793,3.0,250.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",678.689,-2.799999952,-3.599999905,"Carnegie, JP Morgan",Stocks,678.689,1.7242211226604842,"Carnegie, JP Morgan"
FAGR BB,2019-09-09,2019-09-09,2019-09-09,2019-09-09,FAGR BB,Fagron,93.372,5.2113,16.2,"ADDL,Secondary Share Offering,PE Backed,PE Exit",1287.24,-4.709502718e-06,0.1851804703,Joh Berenberg Gossler & Co KG,Stocks,1287.24,3.4702474996508386,Joh Berenberg Gossler & Co KG
G24 GR,2019-09-04,2019-09-05,2019-09-04,2019-09-05,G24 GR,Scout24 AG,384.53,6.7067,52.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",6177.66,-1.153846145,-1.923076868,"Bank of America Merrill Lynch, JP Morgan",Stocks,6177.66,12.404619878771372,"Bank of America Merrill Lynch, JP Morgan"
SIGN SW,2019-09-04,2019-09-05,2019-09-04,2019-09-05,SIGN SW,SIG Combibloc Group AG,366.86,30.0,12.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",3893.2,4.666666508,4.166666508,"Citi, Credit Suisse",Stocks,3893.2,5.154675482615315,"Citi, Credit Suisse"
NETW LN,2019-09-04,2019-09-05,2019-09-04,2019-09-05,NETW LN,Network International Holdings,708.064,100.0,580.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3571.64,1.206896544,0.1724137962,"Emirates NBD PJSC, Citi, JP Morgan, Morgan Stanley",Stocks,3571.64,2.008197451870394,"Emirates NBD PJSC, Citi, JP Morgan, Morgan Stanley"
AVST LN,2019-09-03,2019-09-04,2019-09-03,2019-09-04,AVST LN,Avast PLC,536.53,120.901,367.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement",4379.52,5.395095348,3.051771164,Jefferies,Stocks,4379.52,6.430328195232355,Jefferies
