,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
TPZ SM,2016-04-05,2016-04-27,2016-04-05,2016-04-27,TPZ SM,Telepizza Group SA,626.774,78.5714,7.75,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",764.142,-9.806451797,-19.35483932,"Bank of America Merrill Lynch, UBS, Banco Bilbao Vizcaya Argentaria, Barclays, Nomura",Common,764.142
PER LN,2011-03-10,2011-04-08,2011-03-10,2011-04-08,PER LN,Perform Group Ltd,236.829,0.0,260.0,"IPO,Primary Share Offering,Secondary Share Offering",707.799,0.0,-15.38461494,"Credit Suisse, Morgan Stanley, UBS",Common,707.799
AAF LN,2019-06-04,2019-06-28,2019-06-04,2019-06-28,AAF LN,Airtel Africa PLC,686.573,676.4,80.0,"IPO,Primary Share Offering,PE Backed,REG S,Rule 144A",0.0,-3.75,-15.25,"Absa Group Ltd, Bank of America Merrill Lynch, Barclays, BNP Paribas, Citi, Goldman Sachs, HSBC, JP Morgan, Standard Bank of South Africa",Common,3293.118546
LBP LN,2014-06-27,2014-07-04,2014-06-27,2014-07-04,LBP LN,Lb-shell PLC,95.3334,16.4743,340.0,"IPO,Primary Share Offering,Secondary Share Offering",1088.11,0.0,-13.60294151,"Barclays, Canaccord Genuity",Common,1088.11
BFF IM,2017-03-06,2017-04-07,2017-03-06,2017-04-07,BFF IM,Banca Farmafactoring SpA,263.498,53.0,4.7,"IPO,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",851.231,4.058188551e-06,-11.91489029,"BNP Paribas, Deutsche Bank, Jefferies, Mediobanca, Morgan Stanley, UniCredit",Common,851.231
RKET GR,2014-09-10,2014-10-02,2014-09-10,2014-10-02,RKET GR,Rocket Internet SE,1806.28,32.9412,42.5,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",8201.31,0.0,-11.76235294,"Bank of America Merrill Lynch, Citi, Joh Berenberg Gossler & Co KG, JP Morgan, Morgan Stanley, UBS",Common,8201.31
BHG SS,2018-03-14,2018-03-27,2018-03-14,2018-03-27,BHG SS,Bygghemma Group First AB,172.4,30.0189,47.5,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",621.012,1.052631617,-11.57894707,"Carnegie, Joh Berenberg Gossler & Co KG, SEB",Common,621.012
CARD LN,2014-04-22,2014-05-15,2014-04-22,2014-05-15,CARD LN,Card Factory PLC,499.222,131.834,225.0,"IPO,Secondary Share Offering,PE Backed,PE Exit",1286.84,-2.222222328,-10.66666698,"Morgan Stanley, Nomura, UBS",Common,1286.84
MORPOL NO,2010-06-16,2010-06-30,2010-06-16,2010-06-30,MORPOL NO,Morpol ASA,226.949,0.0,22.0,"IPO,Primary Share Offering,Secondary Share Offering",567.374,-9.090909004,-10.45454502,"ABG Sundal Collier Asa, DNB ASA, Pareto Securities",Common,567.374
EVRY NO,2017-05-23,2017-06-21,2017-05-23,2017-06-21,EVRY NO,Evry AS,452.441,136.473,31.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",1342.19,0.0,-9.677419662,"ABG Sundal Collier Asa, Credit Suisse, DNB ASA, Goldman Sachs, Morgan Stanley, UBS",Common,1342.19
SRP FP,2015-09-09,2015-10-29,2015-09-09,2015-10-29,SRP FP,SRP Groupe SA,252.515,9.4,19.5,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,VC Backed,VC Exit,REG S,Rule 144A",701.537,0.0,-9.641025543,"BNP Paribas, Deutsche Bank, Goldman Sachs, Societe Generale",Common,701.537
TLGO SM,2015-03-31,2015-05-07,2015-03-31,2015-05-07,TLGO SM,Talgo SA,611.031,61.5748,9.25,"IPO,Secondary Share Offering,Best Efforts,PE Backed,REG S,Rule 144A",1433.16,-7.02702713,-9.189188957,"Banco Santander, JP Morgan, Nomura",Common,1433.16
GFG GR,2019-06-17,2019-07-02,2019-06-17,2019-07-02,GFG GR,Global Fashion Group SA,202.068,44.4,4.5,"IPO,Primary Share Offering,REG S,Rule 144A",0.0,-0.6666666865,-9.122221947,"Goldman Sachs, HSBC, Joh Berenberg Gossler & Co KG, Morgan Stanley",Common,983.1972632972063
EQN LN,2015-10-02,2015-10-27,2015-10-02,2015-10-27,EQN LN,Equiniti Group PLC,489.074,192.08,165.0,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,REG S,Rule 144A",757.548,-1.060606003,-8.484848022,"Barclays, Credit Suisse, Goldman Sachs",Common,757.548
LMN SW,2014-03-19,2014-04-15,2014-03-19,2014-04-15,LMN SW,Lastminute.com NV,296.682,5.77,48.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",798.68,-6.25,-7.291666508,"Credit Suisse, Mediobanca, Morgan Stanley, UBS",Common,798.68
ESSR LN,2010-04-08,2010-05-04,2010-04-08,2010-05-04,ESSR LN,Essar Energy Ltd,1942.36,0.0,420.0,"IPO,Secondary Share Offering",0.0,-1.190476179,-7.261904716,"Deutsche Bank, JP Morgan",Common,7698.321039726928
OCDO LN,2010-05-31,2010-07-21,2010-05-31,2010-07-21,OCDO LN,Ocado Group PLC,536.095,0.0,180.0,"IPO,Primary Share Offering,Secondary Share Offering",1368.53,0.0,-7.222222328,"Goldman Sachs, JP Morgan, UBS",Common,1368.53
AA/ LN,2014-06-06,2014-06-23,2014-06-06,2014-06-23,AA/ LN,AA PLC,2327.35,554.0,250.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",2356.99,-2.400000095,-7.199999809,,Common,2356.99
CMBN LN,2014-03-19,2014-04-11,2014-03-19,2014-04-11,CMBN LN,Cambian Group PLC,323.441,0.0,225.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",649.21,0.0,-7.111111164,"JP Morgan, Numis",Common,649.21
FIN LN,2019-04-16,2019-05-15,2019-04-16,2019-05-15,FIN LN,Finablr PLC,399.717,0.0,175.0,"IPO,Primary Share Offering,Secondary Share Offering,Rule 144A",1575.84,-3.462857246,-6.857142925,"Bank of America Merrill Lynch, Barclays, EFG-Hermes, Goldman Sachs, JP Morgan, Numis",Common,1575.84
DMP GR,2018-01-15,2018-02-09,2018-01-15,2018-02-09,DMP GR,Dermapharm Holding SE,441.682,11.7,28.0,"IPO,Primary Share Offering,Secondary Share Offering,REG S,Rule 144A",0.0,0.0,-6.428571224,Joh Berenberg Gossler & Co KG,Common,1722.9166112
BALTA BB,2017-05-31,2017-06-14,2017-05-31,2017-06-14,BALTA BB,Balta Group SA,228.782,17.2084,13.25,"IPO,Primary Share Offering,Secondary Share Offering,Best Efforts,PE Backed,PE Exit,REG S,Rule 144A",532.851,-7.547169685,-6.415094376,"Barclays, Deutsche Bank, JP Morgan",Common,532.851
NEXI IM,2019-03-18,2019-04-16,2019-03-18,2019-04-16,NEXI IM,Nexi SpA,2328.91,213.0,9.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit,REG S,Rule 144A",0.0,-2.777777672,-6.222222328,"Banco BPM SpA, Intesa Sanpaolo, Bank of America Merrill Lynch, Barclays, Citi, Credit Suisse, Goldman Sachs, HSBC, Mediobanca, Banca Monte Dei Paschi di Siena SpA, Unione di Banche Italiane SPA, UBS, UniCredit",Common,5978.764703703792
GWD GR,2018-03-09,2018-04-05,2018-03-09,2018-04-05,GWD GR,Godewind Immobilien AG,461.925,112.5,4.0,"IPO,Primary Share Offering,REG S,Rule 144A",535.833,-10.0,-6.0,"Citi, Joh Berenberg Gossler & Co KG, JP Morgan, Societe Generale",Common,535.833
BMSA GR,2014-05-27,2014-06-25,2014-05-27,2014-06-25,BMSA GR,BMI Group SARL,639.954,20.0621,24.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",1277.19,-2.5,-5.854166508,"BNP Paribas, Goldman Sachs, Joh Berenberg Gossler & Co KG, JP Morgan, UBS",Common,1277.19
AMAG AV,2011-03-25,2011-04-08,2011-03-25,2011-04-08,AMAG AV,AMAG Austria Metall AG,596.292,0.0,19.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,Accelerated Bookbuild",0.0,-10.52631569,-5.842105389,"BNP Paribas, JP Morgan",Common,909.8449813372342
DOM SM,2016-03-30,2016-04-27,2016-03-30,2016-04-27,DOM SM,Global Dominion Access SA,185.695,57.6923,2.74,"IPO,Primary Share Offering,Best Efforts,REG S,Rule 144A",524.561,-1.824817896,-5.839416504,"Banco Santander, JB Capital Markets, Societe Generale",Common,524.561
