Ticker,Date,Orig date,Market cap,Volume,Quarter,Supersector,Sector
CPR IM,2017-11-07,2017-11-07,9021.452,16.297001586249607,2017:Q3,Food & Beverage,Beverages
BNP FP,2017-10-31,2017-10-31,97500.438,189.7736636955,2017:Q3,Banks,Banks
RF FP,2017-07-28,2017-07-27,5918.7251,7.773263166,2017:S1,Financial Services,Financial Services
BOKA NA,2017-08-17,2017-08-17,4462.2048,14.060359691800004,2017:S1,Construction & Materials,Construction & Materials
GKN LN,2017-07-26,2017-07-26,7394.3666,28.785525679756496,2017:S1,Automobiles & Parts,Automobiles & Parts
GLE FP,2017-11-03,2017-11-03,42840.411,154.0548624286,2017:Q3,Banks,Banks
TLW LN,2017-07-26,2017-07-26,2993.8732,21.201714677308626,2017:S1,Oil & Gas,Oil & Gas Producers
ROR LN,2017-08-08,2017-08-08,2634.3141,6.734294885557087,2017:S1,Industrial Goods & Services,Industrial Engineering
CSGN SW,2017-11-02,2017-11-02,41786.1245,137.98479720483184,2017:Q3,Banks,Banks
STB NO,2017-10-25,2017-10-25,3831.1446,11.49482343190276,2017:Q3,Insurance,Nonlife Insurance
WPP LN,2017-08-23,2017-08-23,23114.5627,74.98015576815303,2017:S1,Media,Media
REP SM,2017-11-03,2017-11-03,28205.161,99.51685767050003,2017:Q3,Oil & Gas,Oil & Gas Producers
HSX LN,2017-07-31,2017-07-31,4902.1613,8.710043028042069,2017:S1,Insurance,Nonlife Insurance
GBF GR,2017-11-14,2017-11-14,1902.0123,5.637890823147916,2017:Q3,Industrial Goods & Services,Support Services
G1A GR,2017-11-03,2017-11-03,9354.0031,22.33558319461875,2017:Q3,Industrial Goods & Services,Industrial Engineering
POM FP,2017-07-21,2017-07-21,5868.2393,6.928036732599999,2017:S1,Automobiles & Parts,Automobiles & Parts
FLS DC,2017-11-09,2017-11-09,3109.219,8.25746599023476,2017:Q3,Construction & Materials,Construction & Materials
CA FP,2017-08-31,2017-08-30,17982.4407,50.5875237855,2017:S1,Retail,Food & Drug Retailers
LNZ AV,2017-11-15,2017-11-15,3226.3401,7.9819446052083345,2017:Q3,Chemicals,Chemicals
MKS LN,2017-11-08,2017-11-08,7095.1478,32.875873915134086,2018:S1,Retail,General Retailers
SK FP,2017-07-26,2017-07-26,9044.3072,7.3654461,2017:S1,Personal & Household Goods,Household Goods & Home Construction
HAS LN,2017-08-31,2017-08-31,3405.0874,5.168277435719126,2017:A,Industrial Goods & Services,Support Services
ANTO LN,2017-10-25,2017-10-25,12876.8086,32.67886686043864,2017:S1,Basic Resources,Mining
PNN LN,2017-11-29,2017-11-29,4494.4083,9.354980830726818,2018:S1,Utilities,"Gas, Water & Multiutilities"
FERG LN,2017-10-03,2017-10-03,16978.473,38.3208981637899,2017:A,Industrial Goods & Services,Support Services
ORK NO,2017-10-25,2017-10-25,10537.6426,13.37792924642329,2017:Q3,Food & Beverage,Food Producers
SIK SW,2017-10-26,2017-10-26,18401.5786,36.56378805974789,2017:Q3,Construction & Materials,Construction & Materials
RYA ID,2017-10-31,2017-10-31,23188.3094,41.30694010892777,2018:S1,Travel & Leisure,Travel & Leisure
TEN IM,2017-11-02,2017-11-01,16239.3771,36.810783389866664,2017:Q3,Basic Resources,Industrial Metals & Mining
DNO NO,2017-11-09,2017-11-09,1419.7509,15.355987446938682,2017:Q3,Oil & Gas,Oil & Gas Producers
LIN GR,2017-10-27,2017-10-27,40681.704,107.47766543885163,2017:Q3,Chemicals,Chemicals
FI/N SW,2017-07-19,2017-07-19,4755.598,9.282369848275986,2017:S1,Industrial Goods & Services,Industrial Engineering
HEIA NA,2017-10-25,2017-10-25,55863.459,73.78834882466668,2017:Q3,Food & Beverage,Beverages
COLR BB,2017-12-13,2017-12-12,7869.0085,14.496701625638888,2018:S1,Retail,Food & Drug Retailers
SCAB SS,2017-10-31,2017-10-31,6614.3866,20.912101579723696,2017:Q3,Basic Resources,Forestry & Paper
SGSN SW,2017-07-17,2017-07-17,18371.7954,35.0808520190291,2017:S1,Industrial Goods & Services,Support Services
LDO IM,2017-11-10,2017-11-09,9495.5652,24.016526591666654,2017:Q3,Industrial Goods & Services,Aerospace & Defense
EDF FP,2017-07-28,2017-07-28,29201.8272,31.656756070426674,2017:S1,Utilities,Electricity
SFER IM,2017-11-15,2017-11-14,4341.2967,16.073476009577778,2017:Q3,Personal & Household Goods,Personal Goods
MHG NO,2017-11-01,2017-11-01,9615.3778,33.190973611193684,2017:Q3,Food & Beverage,Food Producers
ALFA SS,2017-10-25,2017-10-25,10411.5481,19.540951273085476,2017:Q3,Industrial Goods & Services,Industrial Engineering
GETIB SS,2017-10-18,2017-10-18,5030.943,14.573712468939295,2017:Q3,Health Care,Health Care Equipment & Services
CNP FP,2017-11-16,2017-11-16,15403.2223,6.210632208644446,2017:Q3,Insurance,Life Insurance
