,,,,2019-06-28 00:00:00,size
AAK SS,23/Apr/2019,,28/Jun/2019,0.16926641406494713,1373.5465058063457
ALM SM,25/Feb/2019,13/May/2019,29/Mar/2019,-0.027721135576800893,633.6056896751455
AMP IM,07/May/2019,,28/Jun/2019,0.15290439762392016,794.2241591541002
AMS SW,30/Apr/2019,,28/Jun/2019,-0.19200208148276954,379.4151701163444
APPS SM,14/May/2019,,28/Jun/2019,-0.05420950981770545,600.6413024267787
ASM NA,24/Apr/2019,,28/Jun/2019,-0.06128938582961119,733.0247552626009
ATCOA SS,25/Apr/2019,,28/Jun/2019,-0.060364138071966944,829.6355466934704
ATCOB SS,25/Apr/2019,,28/Jun/2019,-0.07149445347165151,836.4480922276467
BALDB SS,08/May/2019,,28/Jun/2019,0.03250703156758683,1069.1767580686
BVS LN,28/Feb/2019,,29/Mar/2019,0.01956582028107756,696.012005417184
BWO NO,23/May/2019,,28/Jun/2019,-0.13705414823468542,434.2270804780032
BZU IM,28/Mar/2019,,29/Mar/2019,0.02712080310995213,1074.4683214202905
CGG FP,15/May/2019,,28/Jun/2019,-0.18459656736701446,462.32257759064163
CIE SM,08/May/2019,,28/Jun/2019,-0.06975587337361211,931.646639508177
DHER GR,25/Apr/2019,,28/Jun/2019,-0.03049803662612116,614.9488959974916
DMGT LN,30/May/2019,,28/Jun/2019,0.010411580091785,601.794490183516
DWNI GR,26/Mar/2019,14/May/2019,29/Mar/2019,-0.09332581947443896,1223.2890572713648
EDEN FP,22/Feb/2019,,29/Mar/2019,-0.0012702279269786176,999.3202063437825
EKTAB SS,29/May/2019,,28/Jun/2019,0.011293775625608848,580.7940346561234
ESSITYB SS,25/Apr/2019,,28/Jun/2019,0.04613581284356805,1135.692955397081
EVO SS,25/Apr/2019,,28/Jun/2019,0.028103338448686177,693.373973653665
EVT GR,28/Mar/2019,14/May/2019,29/Mar/2019,-0.049455808410278634,676.0964113334769
EVT GR,14/May/2019,,28/Jun/2019,0.01088942851102881,476.0042243742539
FCT IM,26/Feb/2019,09/May/2019,29/Mar/2019,-0.0444548577211753,642.4915421141884
GEBN SW,02/May/2019,,28/Jun/2019,0.02537897524959254,1733.9793351479052
GEN DC,21/Feb/2019,09/May/2019,29/Mar/2019,0.0016164740298001412,682.6069334175578
GETIB SS,23/Apr/2019,,28/Jun/2019,0.0915859758062536,793.2550350241099
GVC LN,05/Mar/2019,,29/Mar/2019,0.11171866771492289,497.33636525766036
HEMF SS,07/May/2019,,28/Jun/2019,0.10598465256530831,861.8233900656209
HUSQB SS,24/Apr/2019,,28/Jun/2019,-0.03998569891916259,924.658277240182
ICP LN,22/May/2019,,28/Jun/2019,0.07486760909325829,962.1155968168833
IMCD NA,08/May/2019,,28/Jun/2019,0.12458906703086092,1174.2423941506947
INDT SS,25/Apr/2019,,28/Jun/2019,0.07054092534939915,889.1321811610954
KORI FP,15/Mar/2019,,29/Mar/2019,-0.053076643631304266,531.521820525489
LDO IM,14/Mar/2019,,29/Mar/2019,-0.037859633676054605,804.0956060304319
LEG GR,09/May/2019,,28/Jun/2019,-0.059592975776384116,1111.9424363262442
MCRO LN,14/Feb/2019,,29/Mar/2019,-0.007792023328428654,719.0915068025158
METSO FH,25/Apr/2019,,28/Jun/2019,-0.05618921517204056,868.935867428308
MTGB SS,09/May/2019,,28/Jun/2019,-0.15374547589298126,758.1177784356927
NAS NO,25/Apr/2019,,28/Jun/2019,-0.14306619704906698,325.03544333985445
NCCB SS,29/Apr/2019,,28/Jun/2019,0.06637393739561537,1173.0270055302626
NDX1 GR,26/Mar/2019,14/May/2019,29/Mar/2019,-0.062264279657121446,399.6844519944488
NEM GR,29/Mar/2019,30/Apr/2019,29/Mar/2019,-0.027941912328091734,724.6224125791753
ORSTED DC,01/May/2019,,28/Jun/2019,0.16849831683824879,1297.1565796180594
PHNX LN,05/Mar/2019,,29/Mar/2019,0.010139712995444139,1073.3388740324797
PST IM,19/Mar/2019,08/May/2019,29/Mar/2019,0.04568243259988458,1072.7165016555462
QLT LN,12/Mar/2019,,29/Mar/2019,-0.011310830103596015,732.7958463771924
RAND NA,24/Apr/2019,,28/Jun/2019,-0.05798764426402769,784.6124043228059
REP SM,30/Apr/2019,,28/Jun/2019,-0.014091127023994177,1066.3372371490836
RWE GR,15/May/2019,,28/Jun/2019,-0.10382983273750634,981.9599543437903
SAP GR,24/Apr/2019,,28/Jun/2019,0.03495000771523271,914.3227330792599
SBMO NA,14/Feb/2019,,29/Mar/2019,0.0032211604219301027,630.0909181418457
SFER IM,15/May/2019,,28/Jun/2019,-0.030897928929886742,637.3055255630272
SIM DC,20/Feb/2019,22/May/2019,29/Mar/2019,-0.05311543817262976,683.8621338004262
SUBC NO,28/Feb/2019,09/May/2019,29/Mar/2019,0.015232387718848495,663.2692595539135
TEL2B SS,24/Apr/2019,,28/Jun/2019,0.06843968081902063,1178.3595851160126
TOP DC,25/Apr/2019,,28/Jun/2019,0.05397058946992739,791.3358880102613
TPK LN,26/Feb/2019,,29/Mar/2019,0.021202630946088208,708.0978352335421
TRYG DC,10/Apr/2019,,28/Jun/2019,0.08861341604097173,1432.6888078386125
TSCO LN,10/Apr/2019,,28/Jun/2019,-0.029449773590927375,972.2548420305305
UBI IM,08/May/2019,,28/Jun/2019,-0.07756719536279388,591.2016563772023
VALMT FH,26/Apr/2019,,28/Jun/2019,-0.1023075011825173,619.7794240784801
VIFN SW,14/Mar/2019,,29/Mar/2019,-0.03834171718790069,680.838707341356
VNA GR,07/Mar/2019,07/May/2019,29/Mar/2019,-0.08161808139916371,1430.2168448237228
VOLVB SS,24/Apr/2019,,28/Jun/2019,-0.0686996372145331,759.971020988734
WKL NA,20/Feb/2019,,29/Mar/2019,-0.02223766322116172,1354.8195713759328
