,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner,listing_price,announce_price,discount,firstday_return,Broker_core
ONCO SS,2019-06-27,2019-06-28,2019-06-27,2019-06-28,ONCO SS,Oncopeptides AB,78.367,5.015,145.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",839.849,1.448275805,-2.758620739,839.849,2.7009003549727386,"['Carnegie', 'Cowen & Co', 'DNB ASA', 'Jefferies', 'Kempen & Co NV']",147.1565,159.1,-0.08862350722815837,0.014872413793103334,False
TLG GR,2019-06-26,2019-06-27,2019-06-26,2019-06-27,TLG GR,TLG Immobilien AG,252.822,8.5,26.13,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",0.0,-1.836965799,-1.645614862,3097.0311,6.382929465498667,"['Deutsche Bank', 'JP Morgan']",25.3888,26.3,-0.006463878326996242,-0.028365862992728585,True
FDR SM,2019-06-26,2019-06-26,2019-06-26,2019-06-26,FDR SM,Fluidra SA,105.441,7.85,11.8,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2627.67,-3.38983202,-4.067798138,2627.67,1.3262789245075999,"['Citi', 'HSBC']",11.4261,11.34,0.040564373897707284,-0.03168644067796622,False
JST GR,2019-06-25,2019-06-26,2019-06-25,2019-06-26,JST GR,JOST Werke AG,53.8982,1.5301,31.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",525.781,-1.612903237,-1.612903237,525.781,1.0116548072210751,"['Commerzbank', 'JP Morgan']",30.5797,32.4,-0.043209876543209846,-0.013558064516129065,True
KORI FP,2019-06-20,2019-06-20,2019-06-20,2019-06-20,KORI FP,Korian SA,213.422,5.75,32.87,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement",3043.05,1.36903286,0.3955006897,3043.05,5.686187945646293,['Morgan Stanley'],35.1122,34.6,-0.050000000000000155,0.06821417706115018,True
EVR LN,2019-06-19,2019-06-20,2019-06-19,2019-06-20,EVR LN,Evraz PLC,199.762,24.9,635.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",11712.6,2.67716527,0.1574803144,11712.6,39.75281698708008,"['Citi', 'Credit Suisse', 'UBS']",645.8997,675.8,-0.06037289138798452,0.01716488188976384,True
ADYEN NA,2019-06-18,2019-06-19,2019-06-18,2019-06-19,ADYEN NA,Adyen NV,349.267,0.4654,670.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",22238.2,1.462686539,1.850746274,22238.2,59.368633357489855,"['ABN Amro Bank NV', 'JP Morgan']",674.1975,689.0,-0.027576197387518153,0.006264925373134389,True
IFX GR,2019-06-17,2019-06-24,2019-06-17,2019-06-24,IFX GR,Infineon Technologies AG,1734.42,112.774,13.7,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",0.0,8.671534538,8.788322449,17630.9072,156.1274768334097,"['Bank of America Merrill Lynch', 'Credit Suisse', 'JP Morgan']",14.8518,13.808,-0.007821552723059177,0.08407299270072999,True
VAR1 GR,2019-06-13,2019-06-14,2019-06-13,2019-06-14,VAR1 GR,Varta AG,116.992,2.2217,46.7,"ADDL,Primary Share Offering",0.0,9.421839714,14.34689331,2162.3309,4.168537788733539,['Joh Berenberg Gossler & Co KG'],50.9563,50.2,-0.06972111553784865,0.09114132762312632,False
MKS LN,2019-06-13,2019-06-13,2019-06-13,2019-06-13,MKS LN,Marks & Spencer Group PLC,129.133,48.2693,211.0,"ADDL,Primary Share Offering,Rump Placement",5216.94,1.563981056,2.369668245,5216.94,29.34857557173588,['Morgan Stanley'],215.1467,216.0,-0.02314814814814814,0.019652606635071068,True
ASC LN,2019-06-13,2019-06-13,2019-06-13,2019-06-13,ASC LN,ASOS PLC,132.882,3.4532,3035.0,"ADDL,Secondary Share Offering,Best Efforts,Sub Sector Flag",3227.46,3.327841759,2.965403557,3227.46,17.603046949305778,['Goldman Sachs'],3181.4451,3154.0,-0.03772986683576407,0.048252092257001555,True
ADS GR,2019-06-12,2019-06-12,2019-06-12,2019-06-12,ADS GR,adidas AG,406.691,1.3967,257.75,"ADDL,Secondary Share Offering,Accelerated Bookbuild",58357.3,-0.3491755724,0.6207565665,58357.3,204.25267582136345,['Goldman Sachs'],256.8052,256.9,0.0033086804203972253,-0.003665567410281234,True
MTRS SS,2019-06-12,2019-06-13,2019-06-12,2019-06-13,MTRS SS,Munters Group AB,116.183,25.0,44.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",851.612,2.5,-1.136363626,851.612,1.1004400439385313,"['Carnegie', 'Jefferies']",44.9299,48.98,-0.10167415271539393,0.021134090909090908,False
