,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Market cap,ADV,Bookrunner,listing_price,announce_price,discount,firstday_return,Broker_broad,Broker_core,abs_return,rel_return,holding,size,abs_pnl,rel_pnl
TLG GR,2019-06-26,2019-06-27,2019-06-26,2019-06-27,TLG GR,TLG Immobilien AG,252.822,8.5,26.13,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",0.0,-1.836965799,-1.645614862,3097.0311,6.382929465498667,"['Deutsche Bank', 'JP Morgan']",25.3888,26.3,-0.006463878326996242,-0.028365862992728585,True,True,-0.028365862992728585,-0.02820030729194878,1,1276.5858930997338,-36.21146054211711,-36.000114469979366
JST GR,2019-06-25,2019-06-26,2019-06-25,2019-06-26,JST GR,JOST Werke AG,53.8982,1.5301,31.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",525.781,-1.612903237,-1.612903237,525.781,1.0116548072210751,"['Commerzbank', 'JP Morgan']",30.5797,32.4,-0.043209876543209846,-0.013558064516129065,True,True,-0.013558064516129065,-0.013148699641377215,1,202.330961444215,-2.7432162288710895,-2.660389040181057
KORI FP,2019-06-20,2019-06-20,2019-06-20,2019-06-20,KORI FP,Korian SA,213.422,5.75,32.87,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Private Placement",3043.05,1.36903286,0.3955006897,3043.05,5.686187945646293,['Morgan Stanley'],35.1122,34.6,-0.050000000000000155,0.06821417706115018,True,True,0.009029510191664425,0.00572710901860618,2,1137.2375891292588,10.268698401386523,6.513083653000128
ADYEN NA,2019-06-18,2019-06-19,2019-06-18,2019-06-19,ADYEN NA,Adyen NV,349.267,0.4654,670.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",22238.2,1.462686539,1.850746274,22238.2,59.368633357489855,"['ABN Amro Bank NV', 'JP Morgan']",674.1975,689.0,-0.027576197387518153,0.006264925373134389,True,True,0.006264925373134389,0.005740726803240781,1,5000.0,31.324626865671945,28.703634016203907
IFX GR,2019-06-17,2019-06-24,2019-06-17,2019-06-24,IFX GR,Infineon Technologies AG,1734.42,112.774,13.7,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",0.0,8.671534538,8.788322449,17630.9072,156.1274768334097,"['Bank of America Merrill Lynch', 'Credit Suisse', 'JP Morgan']",14.8518,13.808,-0.007821552723059177,0.08407299270072999,True,True,0.08407299270072999,0.08734679192309436,1,5000.0,420.36496350364996,436.7339596154718
ASC LN,2019-06-13,2019-06-13,2019-06-13,2019-06-13,ASC LN,ASOS PLC,132.882,3.4532,3035.0,"ADDL,Secondary Share Offering,Best Efforts,Sub Sector Flag",3227.46,3.327841759,2.965403557,3227.46,17.603046949305778,['Goldman Sachs'],3181.4451,3154.0,-0.03772986683576407,0.048252092257001555,True,True,0.04183660626029617,0.02182720404385652,4,2657.64,111.18663826161351,58.00885055511483
MKS LN,2019-06-13,2019-06-13,2019-06-13,2019-06-13,MKS LN,Marks & Spencer Group PLC,129.133,48.2693,211.0,"ADDL,Primary Share Offering,Rump Placement",5216.94,1.563981056,2.369668245,5216.94,29.34857557173588,['Morgan Stanley'],215.1467,216.0,-0.02314814814814814,0.019652606635071068,True,True,0.026605687203791417,0.028852702218178372,2,2582.66,68.71344411374393,74.51671991080055
ADS GR,2019-06-12,2019-06-12,2019-06-12,2019-06-12,ADS GR,adidas AG,406.691,1.3967,257.75,"ADDL,Secondary Share Offering,Accelerated Bookbuild",58357.3,-0.3491755724,0.6207565665,58357.3,204.25267582136345,['Goldman Sachs'],256.8052,256.9,0.0033086804203972253,-0.003665567410281234,True,True,-0.003665567410281234,0.0005889384848702939,1,5000.0,-18.32783705140617,2.9446924243514694
LHN SW,2019-06-11,2019-06-12,2019-06-11,2019-06-12,LHN SW,LafargeHolcim Ltd,758.712,15.45,48.7,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",29702.0,-1.293636084,0.6981503963,29702.0,102.75404934966963,"['Goldman Sachs', 'UBS']",48.5177,50.32,-0.032193958664546884,-0.0037433264887064555,True,True,-0.0037433264887064555,0.0005111794064451836,1,5000.0,-18.716632443532276,2.555897032225918
BFSA GR,2019-06-05,2019-06-06,2019-06-05,2019-06-06,BFSA GR,Befesa SA,242.571,6.3502,34.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1308.03,4.117647171,3.823529482,1308.03,2.4021725387492228,"['Citi', 'JP Morgan']",35.472,35.0,-0.02857142857142858,0.04329411764705893,True,True,0.04329411764705893,0.04375520239383657,1,480.4345077498446,20.799988100228617,21.021509123577694
