,,,,2019-06-28 00:00:00,size
ABBN SW,28/Feb/2019,17/Apr/2019,29/Mar/2019,-0.02702355084684238,-1409.6506110222863
AC FP,21/Feb/2019,,29/Mar/2019,-0.006238113248637545,-1177.5145024349672
AKZA NA,24/Apr/2019,,28/Jun/2019,-0.08602631157549057,-1955.7642208398743
BEI GR,27/Feb/2019,,29/Mar/2019,0.007836952982965606,-1410.9518678809695
BNR GR,09/May/2019,,28/Jun/2019,0.05617219064231449,-1380.246227305908
BT/A LN,09/May/2019,,28/Jun/2019,0.06990641654479002,-1644.0386294614536
CNA LN,21/Feb/2019,,29/Mar/2019,0.0601274246078809,-1074.5050104523489
DANSKE DC,30/Apr/2019,,28/Jun/2019,0.0281201833372573,-1006.1306794531517
EDF FP,15/Feb/2019,,29/Mar/2019,-0.0010307778852267635,-1084.082948673825
FRES LN,26/Feb/2019,,29/Mar/2019,0.032425500129875884,-667.0106572909737
HSBA LN,19/Feb/2019,03/May/2019,29/Mar/2019,-0.015785037555884895,-1298.740189465232
KGF LN,20/Mar/2019,,29/Mar/2019,-0.06416602721949916,-754.6782113795159
LUN DC,08/May/2019,,28/Jun/2019,0.06833238496798111,-1152.5722607784332
MAERSKA DC,21/Feb/2019,24/May/2019,29/Mar/2019,-0.07281084506556124,-1067.6000957327808
MAERSKB DC,21/Feb/2019,24/May/2019,29/Mar/2019,-0.07138656749415628,-1024.8717682580323
MKS LN,22/May/2019,,28/Jun/2019,0.08971748458317763,-1166.1667438790605
MT NA,09/May/2019,,28/Jun/2019,0.06718174539765687,-713.2099648149295
NOKIA FH,25/Apr/2019,,28/Jun/2019,0.023470581718682437,-930.8601714688764
RBS LN,26/Apr/2019,,28/Jun/2019,0.07515635543689969,-1272.7438849975324
RR/ LN,28/Feb/2019,,29/Mar/2019,0.0401450188139032,-1082.0778233729916
RSA LN,28/Feb/2019,,29/Mar/2019,-0.026517062159491345,-1181.2003093857813
SCHA NO,15/May/2019,,28/Jun/2019,-0.03581494507010052,-969.5148695305787
SOBI SS,25/Apr/2019,,28/Jun/2019,0.030999706178201025,-747.3605288109273
SPR GR,07/Mar/2019,07/May/2019,29/Mar/2019,-0.08559761179143088,-936.5331365163606
SREN SW,03/May/2019,,28/Jun/2019,-0.08529945025588703,-2649.268978010468
SSE LN,22/May/2019,,28/Jun/2019,-0.10121627843070213,-1487.2791470769025
UBI FP,16/May/2019,,28/Jun/2019,0.05712838119157304,-1053.3109050193882
VOD LN,14/May/2019,,28/Jun/2019,-0.006365165414623841,-1110.9393914944148
