,Code,Measure,PerType,PerDate,Value_,RptDate
87,2,8,A,2016-12-31,0.98,2017-01-31
88,2,8,A,2017-12-31,1.22,2018-02-05
224,2,8,Q,2016-12-31,0.12,2017-01-31
225,2,8,Q,2017-03-31,0.33,2017-04-25
226,2,8,Q,2017-06-30,0.32,2017-07-24
227,2,8,Q,2017-09-30,0.26,2017-10-23
228,2,8,Q,2017-12-31,0.31,2018-02-05
229,2,8,Q,2018-03-31,0.34,2018-04-30
230,2,8,Q,2018-06-30,0.37,2018-07-31
231,2,8,Q,2018-09-30,0.32,2018-10-30
695,16,8,A,2016-12-31,1.83,2017-02-08
696,16,8,A,2017-12-31,1.61,2018-02-05
816,16,8,Q,2016-12-31,0.43,2017-02-08
817,16,8,Q,2017-03-31,0.46,2017-05-04
818,16,8,Q,2017-06-30,0.48,2017-08-01
819,16,8,Q,2017-09-30,0.57,2017-10-30
820,16,8,Q,2017-12-31,0.43,2018-02-05
821,16,8,Q,2018-03-31,0.54,2018-05-07
822,16,8,Q,2018-06-30,0.82,2018-08-06
823,16,8,Q,2018-09-30,0.85,2018-10-30
1323,26,8,A,2016-12-31,1.0,2017-02-23
1324,26,8,A,2017-12-31,0.95,2018-02-27
1421,26,8,Q,2016-12-31,0.21,2017-02-23
1422,26,8,Q,2017-03-31,0.19,2017-05-04
1423,26,8,Q,2017-06-30,0.26,2017-08-03
1424,26,8,Q,2017-09-30,0.28,2017-11-02
1425,26,8,Q,2017-12-31,0.21,2018-02-27
1426,26,8,Q,2018-03-31,0.08,2018-05-03
1427,26,8,Q,2018-06-30,0.22,2018-08-02
1428,26,8,Q,2018-09-30,0.27,2018-11-01
1500,28,8,A,2017-09-30,9.21,2017-11-02
1501,28,8,A,2018-09-30,11.91,2018-11-01
1637,28,8,Q,2016-12-31,3.36,2017-01-31
1638,28,8,Q,2017-03-31,2.1,2017-05-02
1639,28,8,Q,2017-06-30,1.67,2017-08-01
1640,28,8,Q,2017-09-30,2.07,2017-11-02
1641,28,8,Q,2017-12-31,3.89,2018-02-01
1642,28,8,Q,2018-03-31,2.73,2018-05-01
1643,28,8,Q,2018-06-30,2.34,2018-07-31
1644,28,8,Q,2018-09-30,2.91,2018-11-01
1895,36,8,A,2016-12-31,0.85,2017-02-21
1896,36,8,A,2017-12-31,1.265,2018-02-22
1941,36,8,S,2016-12-31,-9999.0,2017-02-21
1942,36,8,S,2017-06-30,-9999.0,2017-07-27
1943,36,8,S,2017-12-31,-9999.0,2018-02-22
1944,36,8,S,2018-06-30,-9999.0,2018-07-26
2098,44,8,A,2017-03-31,1.27,2017-04-27
2099,44,8,A,2018-03-31,1.29,2018-04-26
2219,44,8,Q,2016-12-31,0.3,2017-01-26
2220,44,8,Q,2017-03-31,0.33,2017-04-27
2221,44,8,Q,2017-06-30,0.28,2017-07-27
2222,44,8,Q,2017-09-30,0.29,2017-10-24
2223,44,8,Q,2017-12-31,0.31,2018-01-25
2224,44,8,Q,2018-03-31,0.42,2018-04-26
2455,49,8,A,2016-12-31,2.19,2017-01-20
2456,49,8,A,2017-12-31,2.48,2018-01-26
2546,49,8,Q,2016-12-31,0.63,2017-01-20
2547,49,8,Q,2017-03-31,0.59,2017-04-21
2548,49,8,Q,2017-06-30,0.63,2017-07-21
2549,49,8,Q,2017-09-30,0.63,2017-10-19
2550,49,8,Q,2017-12-31,0.63,2018-01-26
2551,49,8,Q,2018-03-31,0.73,2018-04-20
2552,49,8,Q,2018-06-30,0.74,2018-07-27
2553,49,8,Q,2018-09-30,0.91,2018-10-19
2796,54,8,A,2017-03-31,1.17,2017-05-04
2797,54,8,A,2018-03-31,2.45,2018-05-03
2914,54,8,Q,2016-12-31,0.34,2017-01-26
2915,54,8,Q,2017-03-31,0.33,2017-05-04
2916,54,8,Q,2017-06-30,0.82,2017-07-27
2917,54,8,Q,2017-09-30,0.54,2017-10-26
2918,54,8,Q,2017-12-31,0.29,2018-02-01
2919,54,8,Q,2018-03-31,0.8,2018-05-03
2920,54,8,Q,2018-06-30,1.95,2018-07-26
2921,54,8,Q,2018-09-30,1.09,2018-11-01
3353,64,8,A,2016-12-31,0.93,2017-02-08
3354,64,8,A,2017-12-31,1.33,2018-01-31
3473,64,8,Q,2016-12-31,0.29,2017-02-08
3474,64,8,Q,2017-03-31,-0.22,2017-05-05
3475,64,8,Q,2017-06-30,0.57,2017-07-28
3476,64,8,Q,2017-09-30,0.59,2017-11-03
3477,64,8,Q,2017-12-31,0.42,2018-01-31
3478,64,8,Q,2018-03-31,0.29,2018-05-10
3479,64,8,Q,2018-06-30,1.12,2018-07-31
3480,64,8,Q,2018-09-30,1.44,2018-11-01
4074,75,8,A,2016-12-31,10.43,2017-02-28
4075,75,8,A,2017-12-31,-3.64,2018-02-28
4187,75,8,Q,2016-12-31,-0.11,2017-02-28
4188,75,8,Q,2017-03-31,-2.01,2017-05-10
4189,75,8,Q,2017-06-30,1.54,2017-08-09
4190,75,8,Q,2017-09-30,-3.3,2017-11-08
4191,75,8,Q,2017-12-31,0.12,2018-02-28
4192,75,8,Q,2018-03-31,7.22,2018-05-08
4193,75,8,Q,2018-06-30,0.78,2018-08-08
4194,75,8,Q,2018-09-30,-1.66,2018-11-07
4247,77,8,A,2017-09-30,1.723,2017-10-25
4248,77,8,A,2018-09-30,1.63,2018-10-30
4339,77,8,S,2017-03-31,-9999.0,2017-05-02
4340,77,8,S,2017-09-30,-9999.0,2017-10-25
4341,77,8,S,2018-03-31,-9999.0,2018-04-30
4342,77,8,S,2018-09-30,-9999.0,2018-10-30
