,,,,Date,Market cap,Volume,Supersector,Sector,Revision_real,Revision_20,mom,mom_short,30d_vol
0111145D US,24/Feb/2010,03/May/2010,31/Mar/2010,24/Feb/2010,1847.234,9.263485395,Utilities,"Gas, Water & Multiutilities",-0.01718213058419249,0.05154639175257736,1.332141580264569,1.017981749865808,0.011126775453555265
0111145D US,03/May/2010,03/Aug/2010,30/Jun/2010,03/May/2010,1972.0048,13.38713799,Utilities,"Gas, Water & Multiutilities",-0.00328947368421062,-0.02960526315789469,1.314524207011686,1.0391160782321565,0.008344158553111112
0111145D US,03/Aug/2010,02/Nov/2010,30/Sep/2010,03/Aug/2010,2039.6237,13.31959154,Utilities,"Gas, Water & Multiutilities",8.299319727891156,0.006802721088435382,1.175579598145286,1.11911648698396,0.015035440455904726
0167866D US,05/May/2010,03/Aug/2010,30/Jun/2010,05/May/2010,6270.4381,139.44582140000003,Oil & Gas,Oil & Gas Producers,0.026666666666666616,0.14666666666666672,0.8793742280773981,0.9714419475655431,0.024256225520564275
0167866D US,02/Nov/2010,22/Feb/2011,31/Dec/2010,02/Nov/2010,5200.6348,72.21951351,Oil & Gas,Oil & Gas Producers,-0.011235955056179803,0.0,0.6658415841584159,1.0656753407682775,0.020473040291705286
0202445Q US,03/Feb/2010,07/May/2010,31/Mar/2010,03/Feb/2010,4004.6201,15.30168074,Health Care,Pharmaceuticals & Biotechnology,0.004494382022471877,0.01348314606741563,1.2633141260694951,0.9704215618521078,0.010359495628821897
0202445Q US,07/May/2010,,30/Jun/2010,07/May/2010,5927.9,82.23986984,Health Care,Pharmaceuticals & Biotechnology,0.010869565217391353,0.023913043478260843,1.6033308099924302,0.9991501416430595,0.001278668042915884
0625767D US,28/Apr/2010,04/May/2011,30/Jun/2010,28/Apr/2010,525.0362,3.2164178160000003,Technology,Technology Hardware & Equipment,0.045454545454545414,0.16666666666666674,2.775641025641026,0.9880677444187838,0.026581186748796393
0772031D US,16/Feb/2010,05/May/2010,31/Mar/2010,16/Feb/2010,7699.3708,92.21670349,Telecommunications,Fixed Line Telecommunications,0.032258064516129004,0.06451612903225823,1.4329896907216495,0.9952038369304558,0.021406194496525005
0772031D US,05/May/2010,04/Aug/2010,30/Jun/2010,05/May/2010,9410.3619,169.9279784,Telecommunications,Fixed Line Telecommunications,0.02941176470588225,0.08823529411764697,1.2406015037593985,1.0404040404040404,0.011331757890698516
0838256D US,21/Jan/2010,21/Apr/2010,31/Mar/2010,21/Jan/2010,1513.3988,18.24272271,Financial Services,Financial Services,0.006329113924050667,0.03164556962025311,0.8397328881469116,1.0768721007289597,0.014855244943263082
0838256D US,21/Apr/2010,21/Jul/2010,30/Jun/2010,21/Apr/2010,1357.2424,30.20107399,Financial Services,Financial Services,-0.019108280254777066,-0.08280254777070073,1.0147814910025705,0.9651678277390754,0.013725266188443608
0838256D US,21/Jul/2010,20/Oct/2010,30/Sep/2010,21/Jul/2010,1312.705,13.26496964,Financial Services,Financial Services,0.02580645161290329,0.05806451612903207,0.8007419183889771,0.9192587690271344,0.017739628967614055
0838256D US,20/Oct/2010,20/Jan/2011,31/Dec/2010,20/Oct/2010,1231.5982,10.62443773,Financial Services,Financial Services,-0.06756756756756765,-0.1148648648648648,0.6641509433962264,1.0568181818181817,0.01664343479075298
0848680D US,10/Feb/2010,28/Apr/2010,31/Mar/2010,10/Feb/2010,9465.3505,132.15272099999999,Telecommunications,Mobile Telecommunications,0.09302325581395343,0.30232558139534893,1.58,0.850632911392405,0.038047693510743844
0848680D US,27/Oct/2010,10/Feb/2011,31/Dec/2010,27/Oct/2010,12682.956,132.78011170000002,Telecommunications,Mobile Telecommunications,0.13114754098360648,0.2622950819672132,1.4368932038834954,0.9684684684684683,0.019688504268185424
0948669D US,22/Apr/2010,30/Jun/2010,30/Jun/2010,22/Apr/2010,975.3709,4.369025166,Personal & Household Goods,Household Goods & Home Construction,0.11764705882352944,0.16806722689075637,2.586898395721925,1.1478036175710593,0.01698557665541082
0948669D US,29/Sep/2010,22/Dec/2010,30/Sep/2010,29/Sep/2010,756.9453,3.7140551960000003,Personal & Household Goods,Household Goods & Home Construction,-0.013986013986013957,-0.038461538461538436,0.9036697247706422,0.9576988155668359,0.02216833231893028
0961514D US,06/Aug/2010,29/Oct/2010,30/Sep/2010,06/Aug/2010,12153.1112,63.27042117,Utilities,Electricity,0.003225806451612856,0.006451612903225712,1.0672645739910314,1.0789915966386554,0.009323720279505994
0966576D US,27/Jan/2010,27/Apr/2010,31/Mar/2010,27/Jan/2010,2412.9234,25.27520177,Travel & Leisure,Travel & Leisure,0.004830917874396157,0.024154589371980784,1.5893442622950822,1.0095410005157297,0.015523565900604443
0966576D US,04/Aug/2010,02/Nov/2010,30/Sep/2010,04/Aug/2010,2341.416,28.21978384,Travel & Leisure,Travel & Leisure,-0.049107142857143016,-0.04017857142857151,0.9515121219695076,1.0168111373785134,0.02736646613278761
0967702D US,08/Feb/2010,29/Apr/2010,31/Mar/2010,08/Feb/2010,989.2828,6.726571821,Health Care,Health Care Equipment & Services,0.013574660633484337,0.02714932126696845,0.9092849519743864,1.0082159624413145,0.026711873829697447
0967702D US,29/Apr/2010,29/Jul/2010,30/Jun/2010,29/Apr/2010,1081.7609,6.084105136,Health Care,Health Care Equipment & Services,0.04761904761904767,0.10822510822510822,1.9648924122310307,1.0829971181556195,0.015406481771808908
0967702D US,29/Jul/2010,28/Oct/2010,30/Sep/2010,29/Jul/2010,1116.5597,6.123888963,Health Care,Health Care Equipment & Services,0.050193050193050315,0.15444015444015458,1.3254156769596197,1.1511350059737158,0.020600441944504146
0967702D US,28/Oct/2010,18/Feb/2011,31/Dec/2010,28/Oct/2010,1569.7985,13.10386579,Health Care,Health Care Equipment & Services,0.012307692307692353,0.06153846153846154,1.8060013956734124,1.0602782071097374,0.02197835856913543
0991739D US,30/Apr/2010,30/Jul/2010,30/Jun/2010,30/Apr/2010,2384.6221,13.61121144,Health Care,Pharmaceuticals & Biotechnology,0.004366812227074135,0.013100436681222627,1.151720908452353,0.9619841431185201,0.013240649497254831
0991739D US,30/Jul/2010,29/Oct/2010,30/Sep/2010,30/Jul/2010,2102.4718,11.98573244,Health Care,Pharmaceuticals & Biotechnology,-0.012711864406779627,0.0,1.2090023690444853,0.9790986283474853,0.013705842831334712
0991739D US,29/Oct/2010,16/Feb/2011,31/Dec/2010,29/Oct/2010,2388.2163,11.27621842,Health Care,Pharmaceuticals & Biotechnology,-0.020746887966805128,-0.012448132780083054,1.1615403245337854,1.0081317764804003,0.010444826907885922
1074528D US,23/Feb/2010,30/Apr/2010,31/Mar/2010,23/Feb/2010,2599.9998,24.55994585,Technology,Technology Hardware & Equipment,-0.1428571428571429,-0.1306122448979593,2.2488549618320612,0.8180583842498304,0.018554285267156967
1074528D US,29/Jul/2010,27/Oct/2010,30/Sep/2010,29/Jul/2010,2469.3112,24.88684702,Technology,Technology Hardware & Equipment,-0.07391304347826089,-0.06956521739130417,1.0,0.8335937499999999,0.024257036328083747
1074528D US,27/Oct/2010,,31/Dec/2010,27/Oct/2010,2983.8462,53.86595965,Technology,Technology Hardware & Equipment,-0.01363636363636378,0.0,0.8157803267292318,1.338304218150831,0.058391254133321475
1086832D US,05/Feb/2010,30/Apr/2010,31/Mar/2010,05/Feb/2010,3001.0592,35.14398942,Oil & Gas,Oil & Gas Producers,-0.09895833333333326,-0.29166666666666663,0.7218093699515348,0.909579230080573,0.02323999771627995
1086832D US,30/Apr/2010,30/Jul/2010,30/Jun/2010,30/Apr/2010,3674.415,54.29103492,Oil & Gas,Oil & Gas Producers,0.07518796992481191,0.16541353383458635,1.0074009577710057,1.1292134831460674,0.020743816625280673
1086832D US,30/Jul/2010,29/Oct/2010,30/Sep/2010,30/Jul/2010,4134.0196,78.1145302,Oil & Gas,Oil & Gas Producers,0.08762886597938135,0.19072164948453607,1.4110831234256926,1.0199928596929668,0.020130422095402493
1086832D US,29/Oct/2010,04/Feb/2011,31/Dec/2010,29/Oct/2010,4789.104,45.64266058,Oil & Gas,Oil & Gas Producers,-0.033333333333333326,-0.02083333333333326,1.1632316570486396,1.068036853295535,0.01700888677531781
1235274D US,06/May/2010,30/Jul/2010,30/Jun/2010,06/May/2010,1342.9705,37.57632073,Utilities,Electricity,0.08333333333333348,0.3333333333333335,0.7155963302752293,0.9743589743589743,0.04493567735258965
1236053D US,25/Feb/2010,06/May/2010,31/Mar/2010,25/Feb/2010,506.1532,8.045840528,Industrial Goods & Services,Support Services,-0.0350877192982455,0.01754385964912286,1.326984126984127,0.7188995215311005,0.04110304415287099
1236053D US,06/May/2010,31/Mar/2011,30/Jun/2010,06/May/2010,604.453,9.266748835,Industrial Goods & Services,Support Services,-0.032258064516129115,-0.048387096774193616,0.7852112676056339,0.9910313901345291,0.02442527813869192
1248911D US,24/Feb/2010,04/May/2010,31/Mar/2010,24/Feb/2010,887.8922,7.875460297,Health Care,Pharmaceuticals & Biotechnology,0.040000000000000036,0.1428571428571428,1.9551330798479087,0.9918319719953326,0.021672798935171798
1248911D US,04/May/2010,04/Aug/2010,30/Jun/2010,04/May/2010,979.2817,9.489378715,Health Care,Pharmaceuticals & Biotechnology,0.04424778761061954,0.06637168141592942,2.1470085470085474,1.1118630573248407,0.01944221637686334
1248911D US,04/Aug/2010,03/Nov/2010,30/Sep/2010,04/Aug/2010,968.3182,9.190920954,Health Care,Pharmaceuticals & Biotechnology,0.0074906367041198685,0.03745318352059934,1.7418712674187127,1.0487619047619048,0.02230283141004252
1248911D US,03/Nov/2010,24/Feb/2011,31/Dec/2010,03/Nov/2010,1318.8058,7.622869675,Health Care,Pharmaceuticals & Biotechnology,0.07692307692307687,0.13377926421404673,1.2897278314310798,1.2610619469026547,0.013684419914047256
1255459D US,28/Jan/2010,28/Apr/2010,31/Mar/2010,28/Jan/2010,8806.315999999999,66.13795969,Health Care,Pharmaceuticals & Biotechnology,0.008928571428571397,0.029761904761904878,2.0699135899450116,0.9370018975332068,0.01093984277918006
1255459D US,28/Apr/2010,29/Jul/2010,30/Jun/2010,28/Apr/2010,9249.2962,61.13733364,Health Care,Pharmaceuticals & Biotechnology,0.008450704225352101,0.022535211267605604,1.396514745308311,1.0311000191975426,0.01048391724174036
1255459D US,27/Oct/2010,04/Feb/2011,31/Dec/2010,27/Oct/2010,8760.9631,68.17539968,Health Care,Pharmaceuticals & Biotechnology,0.013404825737265424,0.02144772117962468,0.9942481511914544,1.0473140495867768,0.012730176305011331
1280712D US,04/Feb/2010,22/Apr/2010,31/Mar/2010,04/Feb/2010,2138.8456,42.74445476,Technology,Technology Hardware & Equipment,0.1858974358974359,0.21794871794871784,1.65041782729805,0.8894514767932489,0.021798166913169433
1280712D US,22/Apr/2010,13/Jul/2010,30/Jun/2010,22/Apr/2010,2556.4198,49.94490697,Technology,Technology Hardware & Equipment,0.14018691588785037,0.17757009345794383,1.3394140409065782,1.1415600495253817,0.017671194910604416
1280712D US,13/Jul/2010,27/Oct/2010,30/Sep/2010,13/Jul/2010,2565.4927,65.21633728,Technology,Technology Hardware & Equipment,0.12857142857142878,0.15000000000000013,1.3801782905086524,1.0737082066869301,0.025362607644806516
1280712D US,27/Oct/2010,01/Feb/2011,31/Dec/2010,27/Oct/2010,2516.5999,38.1047213,Technology,Technology Hardware & Equipment,0.020066889632106788,0.026755852842809347,1.2476503759398496,1.0772128060263653,0.016908852294950982
1281118D US,22/Apr/2010,22/Jul/2010,30/Jun/2010,22/Apr/2010,2979.9979,91.09667696,Travel & Leisure,Travel & Leisure,-0.019762845849802257,0.1541501976284585,1.680754716981132,0.9622810956443646,0.024695394715053026
1281118D US,22/Jul/2010,,30/Sep/2010,22/Jul/2010,3371.3247,99.10419117,Travel & Leisure,Travel & Leisure,0.005012531328320691,-0.07518796992481214,2.411706349206349,0.9930069930069931,0.031975039014740095
1281683D US,26/Apr/2010,26/Jul/2010,30/Jun/2010,26/Apr/2010,2848.2401,12.85988993,Personal & Household Goods,Personal Goods,-0.005847953216374324,0.0,1.2418207681365576,1.0939289805269186,0.010000629279881232
1281683D US,26/Jul/2010,01/Nov/2010,30/Sep/2010,26/Jul/2010,3046.7008,13.71414877,Personal & Household Goods,Personal Goods,0.005847953216374213,0.03508771929824572,1.100936100936101,1.1349353049907578,0.011371337233640337
1284849D US,30/Apr/2010,02/Aug/2010,30/Jun/2010,30/Apr/2010,19370.8175,89.12764277,Health Care,Pharmaceuticals & Biotechnology,0.003039513677811412,0.015197568389057725,1.3976926425772747,0.9813113222239527,0.011557748103957773
1284849D US,02/Aug/2010,01/Nov/2010,30/Sep/2010,02/Aug/2010,19902.1703,134.3218138,Health Care,Pharmaceuticals & Biotechnology,0.002941176470588225,0.014705882352941346,1.0513942044833242,1.110764430577223,0.018298429446815895
1284849D US,01/Nov/2010,02/Feb/2011,31/Dec/2010,01/Nov/2010,22709.754,91.63868959999999,Health Care,Pharmaceuticals & Biotechnology,0.0028169014084507005,0.014084507042253502,1.187533680617927,1.106942973831493,0.01350770204035
1290105D US,25/Feb/2010,06/May/2010,31/Mar/2010,25/Feb/2010,826.7456,4.312094203,Oil & Gas,"Oil Equipment, Services & Distribution",-0.21212121212121215,-0.25757575757575757,2.2531645569620253,1.0196629213483146,0.02679290943653329
