,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Market cap,ADV
HCM US,2019-06-27,2019-06-28,2019-06-27,2019-06-28,2019-06-28,HCM US,Hutchison China MediTech Ltd,288.0,12.0,24.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3199.56,-7.5,-8.416666985,Morgan Stanley,3199.56,5.035338258222223
BJ US,2019-06-26,2019-06-27,2019-06-26,2019-06-26,2019-06-27,BJ US,BJ's Wholesale Club Holdings I,256.808,9.977,25.74,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3581.7,0.5439014435,2.874903679,Goldman Sachs,3581.7,51.9269108606111
ODT US,2019-06-25,2019-06-26,2019-06-25,2019-06-26,2019-06-26,ODT US,Odonate Therapeutics Inc,123.5,4.75,26.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",819.062,23.46153831,35.11538315,"Jefferies, Cowen & Co",819.062,1.9997706487999998
INXN US,2019-06-25,2019-06-27,2019-06-25,2019-06-26,2019-06-27,INXN US,InterXion Holding NV,334.65,4.0,72.75,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,0.9484536052,3.106529236,"Citi, Bank of America Merrill Lynch, Barclays, Guggenheim Capital",5400.3025,29.209729286800002
ARQL US,2019-06-24,2019-06-25,2019-06-24,2019-06-25,2019-06-25,ARQL US,ArQule Inc,103.716,9.25,9.75,"ADDL,Primary Share Offering,Accelerated Bookbuild",1167.4,10.35897446,6.871794701,"SVB Leerink LLC, RBC Capital Markets",1167.4,31.751824777711114
MDCO US,2019-06-24,2019-06-26,2019-06-24,2019-06-25,2019-06-26,MDCO US,Medicines Co/The,172.501,4.5455,33.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",2602.23,0.7272727489,5.21212101,"Goldman Sachs, JP Morgan",2602.23,53.191227769566666
KRYS US,2019-06-24,2019-06-25,2019-06-24,2019-06-24,2019-06-25,KRYS US,Krystal Biotech Inc,114.156,2.5,40.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Emerging Growth Company",0.0,11.0,0.7749999762,"Goldman Sachs, Cowen & Co",595.075,3.23511368888889
MRTX US,2019-06-24,2019-06-25,2019-06-24,2019-06-25,2019-06-25,MRTX US,Mirati Therapeutics Inc,203.7,2.1,97.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Private Placement",0.0,5.041236877,3.10309267,"Cowen & Co, Credit Suisse, Barclays",3631.748,85.39765809235556
QFIN US,2019-06-21,2019-06-27,2019-06-21,2019-06-27,2019-06-27,QFIN US,360 Finance Inc,110.502,9.609,10.0,"ADDL,Secondary Share Offering,Emerging Growth Company",525.121,13.89999962,17.5,"Citi, Morgan Stanley",525.121,2.1119803665333325
CYRX US,2019-06-19,2019-06-20,2019-06-19,2019-06-19,2019-06-20,CYRX US,CryoPort Inc,63.75,3.75,17.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",591.843,4.941176414,4.294117451,"SVB Leerink LLC, Jefferies",591.843,4.218535863422225
