,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Security type,Market cap
BABA US,2014-05-06,2014-09-19,2014-05-06,2014-09-18,2014-09-19,BABA US,Alibaba Group Holding Ltd,25032.3,320.106,68.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",167620.0,36.32352829,38.07352829,"Credit Suisse, Deutsche Bank, Goldman Sachs, JP Morgan, Morgan Stanley, Citi",ADR,167620.0
FB US,2012-02-01,2012-05-18,2012-02-01,2012-05-17,2012-05-18,FB US,Facebook Inc,16006.9,421.234,38.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit",81247.2,10.65789509,0.6100329161,"Goldman Sachs, Morgan Stanley, JP Morgan, Bank of America Merrill Lynch, Barclays, Citi, Credit Suisse, Deutsche Bank, Allen & Co",Class A,81247.2
UBER US,2019-04-11,2019-05-10,2019-04-11,2019-05-09,2019-05-10,UBER US,Uber Technologies Inc,8100.0,180.0,45.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",75713.5,-6.666666508,-7.622222424,"Morgan Stanley, Goldman Sachs, Bank of America Merrill Lynch, Barclays, Citi, Allen & Co, RBC Capital Markets, Deutsche Bank, SunTrust Robinson Humphrey, HSBC",Common,75713.5
GM US,2010-08-18,2010-11-18,2010-08-18,2010-11-17,2010-11-18,GM US,General Motors Co,18140.1,478.0,33.0,"IPO,Secondary Share Offering,Government Exit",49500.0,6.060606003,3.606060505,"RBC Capital Markets, Goldman Sachs, Deutsche Bank, Credit Suisse, Citi, Barclays, Bank of America Merrill Lynch, Morgan Stanley, JP Morgan",Common,49500.0
ATUS US,2017-04-11,2017-06-22,2017-04-11,2017-06-21,2017-06-22,ATUS US,Altice USA Inc,2151.73,63.9431,30.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",22112.1,5.333333492,9.033333778,"RBC Capital Markets, Deutsche Bank, Credit Agricole CIB, BNP Paribas, Barclays, Bank of America Merrill Lynch, Goldman Sachs, Citi, JP Morgan, Morgan Stanley",Class A,22112.1
KMI US,2010-11-23,2011-02-11,2010-11-23,2011-02-10,2011-02-11,KMI US,Kinder Morgan Inc/DE,3293.59,95.4666,30.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",21210.0,5.666666508,3.5,"Goldman Sachs, Barclays",Common,21210.0
HLT US,2013-09-12,2013-12-12,2013-09-12,2013-12-11,2013-12-12,HLT US,Hilton Worldwide Holdings Inc,2705.74,117.641,20.0,"IPO,Primary Share Offering,Secondary Share Offering,PE Backed,PE Exit",19692.3,6.5,7.5,"Wells Fargo, JP Morgan, Morgan Stanley, Bank of America Merrill Lynch, Deutsche Bank, Goldman Sachs",Common,19692.3
SNAP US,2017-02-02,2017-03-02,2017-02-02,2017-03-01,2017-03-02,SNAP US,Snap Inc,3910.0,200.0,17.0,"IPO,Primary Share Offering,Secondary Share Offering,VC Backed,VC Exit,PE Backed,PE Exit,Emerging Growth Company",19673.6,41.17647171,44.0,"Credit Suisse, Barclays, Allen & Co, Deutsche Bank, JP Morgan, Goldman Sachs, Morgan Stanley",Class A,19673.6
LYFT US,2018-12-06,2019-03-29,2018-12-06,2019-03-28,2019-03-29,LYFT US,Lyft Inc,2340.0,32.5,72.0,"IPO,Primary Share Offering,VC Backed,Emerging Growth Company",19663.0,21.16666603,8.736110687,"JP Morgan, Credit Suisse, Jefferies, UBS, KeyBanc Capital Markets, RBC Capital Markets, Stifel",Class A,19663.0
SYF US,2014-03-13,2014-07-31,2014-03-13,2014-07-30,2014-07-31,SYF US,Synchrony Financial,2955.36,125.0,23.0,"IPO,Primary Share Offering",19176.6,0.0,0.0,"Goldman Sachs, JP Morgan, Citi, Morgan Stanley, Bank of America Merrill Lynch, Barclays, Credit Suisse, Deutsche Bank",Common,19176.6
