,2018-09-28 00:00:00,ticker,date,holding,size,revision
"('VNTR US', '31/Jul/2018', None, None)",-0.41028197562910707,VNTR US,31/Jul/2018,40,0.002357476322091773,-0.2636108023753596
"('CVIA US', '14/Aug/2018', None, None)",-0.362559434276136,CVIA US,14/Aug/2018,33,0.0021399336456072696,-0.391908674415963
"('CDE US', '26/Jul/2018', None, None)",-0.23893502253107934,CDE US,26/Jul/2018,40,0.0026392618577777216,2.2062471290767114
"('NNBR US', '09/Aug/2018', None, None)",-0.23602552063898052,NNBR US,09/Aug/2018,36,0.002369050753826158,-0.009751792001236532
"('TCL/A CN', '06/Sep/2018', None, None)",-0.23213662331135732,TCL/A CN,06/Sep/2018,16,0.005395891403066837,-0.07011037840564366
"('SOHU US', '30/Jul/2018', None, None)",-0.22709832067810976,SOHU US,30/Jul/2018,40,0.002054573741622926,0.12490454412782638
"('WTTR US', '10/Aug/2018', None, None)",-0.21563661418920932,WTTR US,10/Aug/2018,35,0.003244727058407124,-0.0501405119435152
"('LE US', '06/Sep/2018', None, None)",-0.2121378395030693,LE US,06/Sep/2018,16,0.0016614135798948691,-0.18371919342793128
"('TTGT US', '09/Aug/2018', None, None)",-0.2119039650595007,TTGT US,09/Aug/2018,36,0.001718769181140147,0.05632667097100199
"('CECO US', '02/Aug/2018', None, None)",-0.2001762420318708,CECO US,02/Aug/2018,40,0.0039443510599067476,-0.00475123263110718
"('LJPC US', '09/Aug/2018', None, None)",-0.19250731231562435,LJPC US,09/Aug/2018,36,0.0017734410411436718,-0.18381636700285342
"('EDV CN', '01/Aug/2018', None, None)",-0.16301985936545937,EDV CN,01/Aug/2018,40,0.004546887241845189,-0.19232996835674718
"('VECO US', '02/Aug/2018', None, None)",-0.16135837481651483,VECO US,02/Aug/2018,40,0.0023142174313154893,-0.16089043216702792
"('AGM US', '09/Aug/2018', None, None)",-0.15530370221485035,AGM US,09/Aug/2018,36,0.003041499871649999,-0.049726633689143415
"('CZZ US', '09/Aug/2018', None, None)",-0.15236402735163468,CZZ US,09/Aug/2018,36,0.0023913747766727317,-0.4473436093013401
"('QD US', '24/Aug/2018', None, None)",-0.145572630117193,QD US,24/Aug/2018,25,0.0012691012411275597,-0.03361758409903438
"('JG US', '07/Sep/2018', None, None)",-0.13629483819419475,JG US,07/Sep/2018,15,0.0006226925761264547,-7.000378024193549
"('BCEI US', '09/Aug/2018', None, None)",-0.1338052185262546,BCEI US,09/Aug/2018,36,0.002051767861089083,-0.18729084713333038
"('INFN US', '08/Aug/2018', None, None)",-0.13195449494932754,INFN US,08/Aug/2018,37,0.002312890553564681,-0.06807897984368579
"('RMBS US', '31/Jul/2018', None, None)",-0.13184741772150765,RMBS US,31/Jul/2018,40,0.004146511532925324,0.0047146519109136555
"('KOP US', '09/Aug/2018', None, None)",-0.12855651469572194,KOP US,09/Aug/2018,36,0.003307343472428658,0.049057117876733614
"('PBI US', '01/Aug/2018', None, None)",-0.12797837538292722,PBI US,01/Aug/2018,40,0.0034393258093146166,-0.009941688175126669
"('DF US', '07/Aug/2018', None, None)",-0.12544586639852573,DF US,07/Aug/2018,38,0.003531932328149002,-0.2964560297886442
"('DFIN US', '02/Aug/2018', None, None)",-0.12251531089554457,DFIN US,02/Aug/2018,40,0.0031562754932233095,-0.051768942649554325
"('ACCO US', '31/Jul/2018', None, None)",-0.11998923083132762,ACCO US,31/Jul/2018,40,0.003945106946343389,-0.0066371681415929255
"('EXTR US', '08/Aug/2018', None, None)",-0.1168619609129915,EXTR US,08/Aug/2018,37,0.002384472900891076,-0.5089820359281437
"('CASH US', '27/Jul/2018', None, None)",-0.11583159895345496,CASH US,27/Jul/2018,40,0.00355617109717699,-0.07745297565332365
"('MMI US', '08/Aug/2018', None, None)",-0.11371504463363669,MMI US,08/Aug/2018,37,0.005255092607977409,0.0023645191418241764
"('ATNX US', '14/Aug/2018', None, None)",-0.1099772367547669,ATNX US,14/Aug/2018,33,0.0021898722634983783,-0.13087085328464634
"('SMF CN', '08/Aug/2018', None, None)",-0.10961252088099016,SMF CN,08/Aug/2018,37,0.0035534457644164404,-0.17269970801826753
"('CRTO US', '01/Aug/2018', None, None)",-0.1070256873684462,CRTO US,01/Aug/2018,40,0.0020342811096584696,-0.07044226319969606
"('SALT US', '23/Jul/2018', None, None)",-0.10128760656944669,SALT US,23/Jul/2018,40,0.0032181207819433136,-0.12270861222668453
"('DESP US', '16/Aug/2018', None, None)",-0.09997002462241744,DESP US,16/Aug/2018,31,0.0022460356452694103,-0.3748724634862343
"('AXGN US', '02/Aug/2018', None, None)",-0.09983648939521739,AXGN US,02/Aug/2018,40,0.0016238255389757078,-0.22727272727272732
"('TMST US', '27/Jul/2018', None, None)",-0.09901282852442983,TMST US,27/Jul/2018,40,0.002059304836556562,-0.3137034238755336
"('BPFH US', '19/Jul/2018', None, None)",-0.09807929614660338,BPFH US,19/Jul/2018,40,0.0050186163128273535,-0.039579805144348626
"('RVNC US', '03/Aug/2018', None, None)",-0.0973891989395036,RVNC US,03/Aug/2018,40,0.0023868377398226052,-0.02492698863708975
"('CBLK US', '08/Aug/2018', None, None)",-0.09736865493384228,CBLK US,08/Aug/2018,37,0.0010512781855928465,0.034909105342541866
"('ZZZ CN', '03/Aug/2018', None, None)",-0.09406085645077589,ZZZ CN,03/Aug/2018,40,0.003529067407461958,-0.008320589578132746
"('PLUS US', '09/Aug/2018', None, None)",-0.09325252698375464,PLUS US,09/Aug/2018,36,0.004186851925173074,0.009980056885557118
"('ASIX US', '03/Aug/2018', None, None)",-0.09079938710994773,ASIX US,03/Aug/2018,40,0.0030420761272837624,-0.08593486964599362
"('RUN US', '10/Aug/2018', None, None)",-0.0892874870276329,RUN US,10/Aug/2018,35,0.0016245192028796565,-0.07515969561410663
"('MEI US', '30/Aug/2018', None, None)",-0.0888158777050353,MEI US,30/Aug/2018,21,0.004119120174814811,-0.03594636813406326
"('ABEO US', '10/Aug/2018', None, None)",-0.0872656924999482,ABEO US,10/Aug/2018,35,0.0017293447353466669,-0.15765691911599983
"('VBTX US', '24/Jul/2018', None, None)",-0.08615773192027676,VBTX US,24/Jul/2018,40,0.00455200752238927,0.1257419164328953
"('BLX CN', '10/Aug/2018', None, None)",-0.0857275367390613,BLX CN,10/Aug/2018,35,0.00634072534655234,-0.4189793414492954
"('GDEN US', '09/Aug/2018', None, None)",-0.08482612639265974,GDEN US,09/Aug/2018,36,0.0020048127864945313,-0.057405405405405334
"('MODN US', '08/Aug/2018', None, None)",-0.08330975327287327,MODN US,08/Aug/2018,37,0.0026196991004529316,0.10416666666666664
"('IMPV US', '27/Jul/2018', None, None)",-0.08313649428884107,IMPV US,27/Jul/2018,40,0.0030181386154508167,-0.6020831832130485
"('DENN US', '31/Jul/2018', None, None)",-0.08198062369233028,DENN US,31/Jul/2018,40,0.00456001245579598,-0.006987728866380995
"('JCP US', '16/Aug/2018', None, None)",-0.08127313093737731,JCP US,16/Aug/2018,31,0.0019125803684970789,-12.408510638297873
"('CARO US', '24/Jul/2018', None, None)",-0.08088977308728473,CARO US,24/Jul/2018,40,0.0034489398926964994,-0.024977585516951447
"('PFS US', '27/Jul/2018', None, None)",-0.07779403625625358,PFS US,27/Jul/2018,40,0.006308663403179298,-0.07864074189153658
"('SXC US', '26/Jul/2018', None, None)",-0.07773319215748842,SXC US,26/Jul/2018,40,0.0025226139738943943,-0.07287261575724427
"('LXRX US', '30/Jul/2018', None, None)",-0.07610673449856264,LXRX US,30/Jul/2018,40,0.0017670832496067962,0.35746864126119265
"('KURA US', '07/Aug/2018', None, None)",-0.07486294671361204,KURA US,07/Aug/2018,38,0.0021604473997471193,0.03562054147880023
"('WD US', '01/Aug/2018', None, None)",-0.07459853361002489,WD US,01/Aug/2018,40,0.0031544747750903456,-0.021837003576134037
"('SASR US', '19/Jul/2018', None, None)",-0.07053202755980459,SASR US,19/Jul/2018,40,0.005038480763350369,-0.03505151843082375
