,,,,2019-06-28 00:00:00,size
ACA US,03/May/2019,,28/Jun/2019,-0.012703247966052489,533.9670690352563
ACAD US,27/Feb/2019,02/May/2019,29/Mar/2019,-0.0519157914642816,309.32585528870413
ACIA US,22/Feb/2019,03/May/2019,29/Mar/2019,-0.013174667657419481,501.3697748422179
ADTN US,18/Apr/2019,,28/Jun/2019,0.016470974138201866,546.9633124898073
AERI US,26/Feb/2019,08/May/2019,29/Mar/2019,-0.07712426052727239,338.2325795830095
AGCO US,02/May/2019,,28/Jun/2019,-0.07391816828811149,722.0653625205672
AGS US,06/Mar/2019,09/May/2019,29/Mar/2019,0.039793137335718765,569.5092265526711
AIG US,07/May/2019,,28/Jun/2019,0.08480063826003237,709.8092265607916
AJRD US,01/May/2019,,28/Jun/2019,0.14121633970975145,499.87995828425505
ANF US,06/Mar/2019,29/May/2019,29/Mar/2019,0.005245192476069693,381.45247889068867
ARCH US,23/Apr/2019,,28/Jun/2019,-0.0740489388108222,520.8787076871224
ARGO US,30/Apr/2019,,28/Jun/2019,-0.032465575031144334,803.1483387313041
ATRO US,08/May/2019,,28/Jun/2019,-0.019601520811831752,529.5041695274059
AYX US,02/May/2019,,28/Jun/2019,0.10939945703205889,364.15203436419904
BGNE US,10/May/2019,,28/Jun/2019,-0.007814189366649682,255.5284291633777
BLD US,07/May/2019,,28/Jun/2019,-0.015233911218033858,434.15686798513184
BMCH US,01/May/2019,,28/Jun/2019,-0.04822752119646023,443.48769496178124
CASH US,26/Apr/2019,,28/Jun/2019,0.07410091595582857,351.45207648637086
CCS US,03/May/2019,,28/Jun/2019,-0.009789261315217512,377.9857083902799
CLH US,27/Feb/2019,01/May/2019,29/Mar/2019,-0.008760458295105078,748.9939839605457
COHU US,07/May/2019,,28/Jun/2019,-0.10876225856611776,488.1103490758207
COKE US,27/Feb/2019,08/May/2019,29/Mar/2019,-0.0024063983185713678,550.0609612287197
CORE US,01/Mar/2019,08/May/2019,29/Mar/2019,-0.023724640538962727,579.6853397014735
