,,,Announced Date,Pricing date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Market cap,ADV,listing_price,announce_price,discount,firstday_return,Broker_broad,Broker_core,abs_return,rel_return,holding,size,abs_pnl,rel_pnl
HCM US,2019-06-27,2019-06-28,2019-06-27,2019-06-28,2019-06-28,HCM US,Hutchison China MediTech Ltd,288.0,12.0,24.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3199.56,-7.5,-8.416666985,['Morgan Stanley'],3199.56,5.035338258222223,22.7261,30.2,-0.20529801324503305,-0.05307916666666668,True,True,-0.05307916666666668,-0.05612573780279784,1,1007.0676516444446,-53.45431172624409,-56.52241496587545
BJ US,2019-06-26,2019-06-27,2019-06-26,2019-06-26,2019-06-27,BJ US,BJ's Wholesale Club Holdings I,256.808,9.977,25.74,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3581.7,0.5439014435,2.874903679,['Goldman Sachs'],3581.7,51.9269108606111,26.3669,25.74,0.0,0.024355089355089454,True,True,0.024355089355089454,0.02085454103432194,1,5000.0,121.77544677544728,104.27270517160969
MDCO US,2019-06-24,2019-06-26,2019-06-24,2019-06-25,2019-06-26,MDCO US,Medicines Co/The,172.501,4.5455,33.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",2602.23,0.7272727489,5.21212101,"['Goldman Sachs', 'JP Morgan']",2602.23,53.191227769566666,34.1823,35.36,-0.06674208144796379,0.0358272727272726,True,True,0.0358272727272726,0.03424315226183805,1,3450.0200000000004,123.60480745454502,118.13956016638653
KRYS US,2019-06-24,2019-06-25,2019-06-24,2019-06-24,2019-06-25,KRYS US,Krystal Biotech Inc,114.156,2.5,40.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Emerging Growth Company",0.0,11.0,0.7749999762,"['Goldman Sachs', 'Cowen & Co']",595.075,3.23511368888889,44.0907,41.2,-0.029126213592233108,0.10226749999999996,True,True,0.10226749999999996,0.1076277642276422,1,647.022737777778,66.16939783568888,69.63761067147026
QFIN US,2019-06-21,2019-06-27,2019-06-21,2019-06-27,2019-06-27,QFIN US,360 Finance Inc,110.502,9.609,10.0,"ADDL,Secondary Share Offering,Emerging Growth Company",525.121,13.89999962,17.5,"['Citi', 'Morgan Stanley']",525.121,2.1119803665333325,11.2173,13.79,-0.27483683828861494,0.1217299999999999,True,True,0.1217299999999999,0.11822945167923238,1,422.3960733066665,51.41827400362047,49.93965613850802
ZYME US,2019-06-18,2019-06-20,2019-06-18,2019-06-19,2019-06-20,ZYME US,Zymeworks Inc,126.25,5.5556,18.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Emerging Growth Company",0.0,7.277777672,11.38888931,['JP Morgan'],647.9246,2.587671431455556,19.5609,20.17,-0.10758552305404068,0.08671666666666678,True,True,0.08671666666666678,0.08007658472743828,1,517.5342862911111,44.87884819287758,41.44237812554446
BHVN US,2019-06-17,2019-06-19,2019-06-17,2019-06-18,2019-06-19,BHVN US,Biohaven Pharmaceutical Holdin,299.998,6.9767,43.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",2204.17,0.1162790731,-5.465116501,"['Goldman Sachs', 'Piper Jaffray & Co']",2204.17,34.23890388244445,41.9881,57.36,-0.25034867503486746,-0.02353255813953481,True,True,-0.02353255813953481,-0.02380034285759758,1,5000.0,-117.66279069767404,-119.0017142879879
HTGC US,2019-06-12,2019-06-13,2019-06-12,2019-06-13,2019-06-13,HTGC US,Hercules Capital Inc,72.68,5.0,12.64,"ADDL,Primary Share Offering,Accelerated Bookbuild",1318.01,1.582275748,1.74050355,"['Stifel', 'Wells Fargo', 'Morgan Stanley']",1318.01,6.731241399999999,12.7249,12.9,-0.020155038759689936,0.006716772151898587,True,True,0.006716772151898587,0.004187893290392264,1,1346.24828,9.042442956645372,5.637944139014126
KRNT US,2019-06-11,2019-06-14,2019-06-11,2019-06-13,2019-06-14,KRNT US,Kornit Digital Ltd,137.253,4.34,27.5,"ADDL,Primary Share Offering,Accelerated Bookbuild,Emerging Growth Company",1109.74,4.363636494,3.236363649,"['Barclays', 'Goldman Sachs', 'Citi']",1109.74,11.609083327611113,29.0223,29.36,-0.06335149863760214,0.05535636363636365,True,True,0.05535636363636365,0.05776793731057328,1,2321.816665522223,128.5273276336175,134.12655958053207
PBR US,2019-06-10,2019-06-26,2019-06-10,2019-06-25,2019-06-26,PBR US,Petroleo Brasileiro SA,1911.41,120.67,15.84,"ADDL,Secondary Share Offering",58944.3,0.7575747967,0.1262616664,"['Caixa Economica Federal', 'Bank of America Merrill Lynch', 'Morgan Stanley', 'UBS', 'XP Investimentos CCTVM SA']",58944.3,192.12779274698053,15.9016,15.07,0.051094890510948954,0.0038888888888888307,True,True,0.0038888888888888307,0.0023047684234542842,1,5000.0,19.44444444444415,11.523842117271421
