,,,,2019-06-28 00:00:00,size
ABB US,28/Feb/2019,17/Apr/2019,29/Mar/2019,-0.017508693423098354,-458.51099810848353
ADS US,25/Apr/2019,,28/Jun/2019,0.057468723722273074,-216.59844456247856
ADT US,12/Mar/2019,08/May/2019,29/Mar/2019,0.0013782139743552246,-316.1885330666526
AGR US,20/Feb/2019,25/Apr/2019,29/Mar/2019,0.025958922106016358,-533.5107882741462
ALNY US,01/May/2019,,28/Jun/2019,0.12323948753751868,-185.78895410094918
APTV US,02/May/2019,,28/Jun/2019,0.021300588415383848,-281.7877826227788
ARMK US,07/May/2019,,28/Jun/2019,-0.1761643299789153,-426.3085587480787
ARW US,02/May/2019,,28/Jun/2019,0.09955851704613616,-334.94489357805077
ASH US,01/May/2019,,28/Jun/2019,-0.08417148808592212,-434.9231587162674
BERY US,02/May/2019,,28/Jun/2019,0.03574631585427812,-528.0348010741856
BIDU US,17/May/2019,,28/Jun/2019,0.019618351786750532,-327.11134811745313
BK US,17/Apr/2019,,28/Jun/2019,0.060893790437689166,-417.9594154245336
BT US,09/May/2019,,28/Jun/2019,0.06317928409986084,-481.15999660390463
CAJ US,24/Apr/2019,,28/Jun/2019,-0.08162621556209437,-593.2279164530676
CGNX US,30/Apr/2019,,28/Jun/2019,0.035919899386927634,-259.4145764354374
CHL US,21/Mar/2019,23/Apr/2019,29/Mar/2019,0.08283097458648148,-520.1591614953853
CTSH US,03/May/2019,,28/Jun/2019,-0.08610256801222982,-287.64546002525606
CVS US,20/Feb/2019,01/May/2019,29/Mar/2019,0.025404351351285825,-352.48918681569756
CXO US,20/Feb/2019,01/May/2019,29/Mar/2019,0.032536145196595534,-238.44931344694902
DBX US,22/Feb/2019,10/May/2019,29/Mar/2019,0.006494694472613416,-258.96020637563817
DE US,17/May/2019,,28/Jun/2019,-0.14076676404367738,-275.0760822963748
ETRN US,30/Apr/2019,,28/Jun/2019,0.0018139714209026714,-402.08780646233726
FANUY US,24/Apr/2019,,28/Jun/2019,0.036020880012186396,-408.1016628318181
FCX US,25/Apr/2019,,28/Jun/2019,0.16226499392539662,-251.22317454238825
FDX US,20/Mar/2019,26/Jun/2019,29/Mar/2019,-0.00760404836540407,-374.0223140022604
GPS US,31/May/2019,,28/Jun/2019,0.11370731907642395,-277.61450878286325
HLF US,03/May/2019,,28/Jun/2019,0.1172914275986161,-430.4423506623974
HMC US,09/May/2019,,28/Jun/2019,0.016149960072590952,-422.31331904268586
HSBC US,19/Feb/2019,03/May/2019,29/Mar/2019,-0.03382499488606261,-669.5765015504868
HSIC US,20/Feb/2019,07/May/2019,29/Mar/2019,-0.003981807231921208,-298.2890425037356
HTHT US,23/May/2019,,28/Jun/2019,-0.1215250618052105,-189.53125136894113
IQ US,17/May/2019,,28/Jun/2019,-0.10679750006625854,-218.22186845072633
JBHT US,16/Apr/2019,,28/Jun/2019,0.09167504780021996,-325.7910909493272
JKHY US,01/May/2019,,28/Jun/2019,-0.016005136327826297,-645.1134381084768
JWN US,22/May/2019,,28/Jun/2019,0.0689981002683826,-314.0766732553933
KAR US,20/Feb/2019,08/May/2019,29/Mar/2019,-0.0036521156149438294,-549.177651024175
KHC US,22/Feb/2019,,29/Mar/2019,0.006433450405682661,-557.23322877569
KSS US,21/May/2019,,28/Jun/2019,0.1254897155924377,-182.8768560126225
LB US,28/Feb/2019,23/May/2019,29/Mar/2019,0.09411969524639985,-386.5199471565974
LOW US,22/May/2019,,28/Jun/2019,-0.03903885606381252,-375.61302883163995
MGM US,30/Apr/2019,,28/Jun/2019,-0.11244132330217138,-313.4412138364302
MHK US,26/Apr/2019,,28/Jun/2019,-0.14902013389855073,-400.9619461291197
MKSI US,30/Apr/2019,,28/Jun/2019,0.14356194548944146,-288.3784720681535
MMM US,25/Apr/2019,,28/Jun/2019,0.1063579117037976,-571.6039537260075
MOS US,07/May/2019,,28/Jun/2019,0.008416735881801696,-439.99385286364435
MSG US,08/May/2019,,28/Jun/2019,0.036160338728255415,-570.8921510109878
MYL US,27/Feb/2019,07/May/2019,29/Mar/2019,0.07044354506587491,-249.81128102457347
NEWR US,15/May/2019,,28/Jun/2019,0.14972210785291473,-260.98139038305885
NOK US,25/Apr/2019,,28/Jun/2019,0.008849522667794485,-279.9078512739711
NTES US,21/Feb/2019,16/May/2019,29/Mar/2019,-0.12048975410622598,-204.0039663803225
NWL US,15/Feb/2019,03/May/2019,29/Mar/2019,0.004567596796323015,-257.1824740260466
OC US,20/Feb/2019,24/Apr/2019,29/Mar/2019,-0.051296611528186764,-266.79699284385936
OC US,24/Apr/2019,,28/Jun/2019,-0.09526583362608465,-333.00858445918516
PDD US,20/May/2019,,28/Jun/2019,0.07123341024856811,-162.51401975378553
PEGA US,08/May/2019,,28/Jun/2019,-0.05917756357602488,-372.8365627861962
PFPT US,26/Apr/2019,,28/Jun/2019,0.09759882271818743,-310.6272534743986
PSTG US,22/May/2019,,28/Jun/2019,0.05689232916389919,-288.92937771796244
QRTEA US,28/Feb/2019,10/May/2019,29/Mar/2019,-0.03348172498629143,-540.8020704597564
QRTEA US,10/May/2019,,28/Jun/2019,0.0010336485523776417,-355.74223385028824
RBS US,26/Apr/2019,,28/Jun/2019,0.10166144775004948,-369.0373692709213
REGN US,07/May/2019,,28/Jun/2019,0.051996726079979405,-232.17968004350462
ROL US,24/Apr/2019,,28/Jun/2019,-0.017085818719989043,-629.35330378683
SABR US,30/Apr/2019,,28/Jun/2019,-0.08653629338706836,-474.95965427680676
SQM US,28/Feb/2019,23/May/2019,29/Mar/2019,0.04497353444974439,-384.6555533312371
SQM US,23/May/2019,,28/Jun/2019,-0.001012085888302372,-301.20582604361243
SRCL US,03/May/2019,,28/Jun/2019,0.08321860922352564,-362.3736927197034
SSEZY US,22/May/2019,,28/Jun/2019,-0.10028957286988538,-412.37687379563994
STLD US,22/Apr/2019,,28/Jun/2019,0.18058299504891417,-269.37007547150415
SYMC US,10/May/2019,,28/Jun/2019,-0.09972331358492537,-340.93575390278835
TOL US,22/May/2019,,28/Jun/2019,-0.0044205864455083566,-380.83059589047275
TRGP US,20/Feb/2019,07/May/2019,29/Mar/2019,0.04745723598053497,-264.39886263065455
TV US,22/Feb/2019,30/Apr/2019,29/Mar/2019,0.028678457873356766,-280.10889455182445
TX US,20/Feb/2019,02/May/2019,29/Mar/2019,-0.010734951941592352,-432.82034638269977
VEDL US,08/May/2019,,28/Jun/2019,-0.09922830822389284,-263.0799385233723
WB US,23/May/2019,,28/Jun/2019,0.034586016092440275,-176.54741116768076
WBA US,02/Apr/2019,27/Jun/2019,28/Jun/2019,0.03316096937378421,-267.9440825389097
WFC US,12/Apr/2019,,28/Jun/2019,-0.03388335390968544,-452.101523989264
WIX US,20/Feb/2019,16/May/2019,29/Mar/2019,0.035231963077561046,-290.83877068846414
WIX US,16/May/2019,,28/Jun/2019,-0.012334116814769813,-282.6184132190108
WLK US,02/May/2019,,28/Jun/2019,-0.04266780639628032,-249.84462309984062
WUBA US,01/Mar/2019,29/May/2019,29/Mar/2019,-0.02783158868410862,-260.70403143972186
XEC US,21/Feb/2019,09/May/2019,29/Mar/2019,0.03655511528795419,-299.2832639484074
XPO US,15/Feb/2019,02/May/2019,29/Mar/2019,-0.020176113969278764,-244.21337715883138
YNDX US,15/Feb/2019,25/Apr/2019,29/Mar/2019,0.021860122973884177,-223.0474606523701
