,010060 KS,1928 HK,2914 JT,3405 JP,3800 HK,6740 JP,700 HK,7201 JP,7974 JP,9142 JP,AA US,AAL US,AALB NA,AAPL US,ABBN VX,ABF LN,ABI BB,AC CN,ACA FP,ACHC US,ACS SM,ACX SM,AD NA,ADBE US,ADM US,ADP US,ADSK US,AENA SM,AF FP,AGL IM,AGN NA,AI FP,AIG US,AIR FP,AKAM US,AKE FP,AKZA NA,ALB US,ALK US,ALO FP,AMAT US,AMFW LN,AMS SW,AMUN FP,AMZN US,ANA SM,ANTM US,AON US,APC US,APD US,ARYN SW,ASC LN,ASSAB SS,ATC NA,ATO FP,ATVI US,AVGO US,AXE US,AXLL US,AXTA US,AYA CN,AYX US,BA US,BA/ LN,BAB LN,BAC US,BAER VX,BALN VX,BAMI IM,BARC LN,BATS LN,BBD/B CN,BBVA SM,BCO US,BDC US,BE US,BERY US,BG AV,BKD US,BKIR ID,BLL US,BLND LN,BLT LN,BMPS IM,BNP FP,BOKA NA,BOL SS,BP/ LN,BPE IM,BRBY LN,BT/A LN,BVI FP,BX US,BYD US,BZU IM,BZUN US,C US,CA FP,CABK SM,CBT US,CC US,CCE US,CCL LN,CE US,CENX US,CERV IM,CF US,CFR VX,CHK US,CHR DC,CHTR US,CLNX SM,CNA LN,CNHI IM,CO FP,COB LN,COF US,COH US,COL US,COTY US,CPB US,CPI LN,CPR IM,CRDA LN,CRH LN,CRTO US,CS FP,CSX US,CTEC LN,CTRP US,CTSH US,CTT PL,CVS US,CZR US,DANSKE DC,DAR US,DBX US,DD US,DENERG DC,DF US,DG FP,DG US,DGE LN,DIA SM,DIS US,DL NA,DLB US,DOW US,DSM NA,EA US,EAT US,ECL US,EDEN FP,EDF FP,EDP PL,EI FP,EKT SM,ELE SM,ELF US,ELUXB SS,EMN US,EMR US,ENEL IM,ENG SM,ENGI FP,ENR US,EO FP,EPC US,ERF FP,ERICB SS,ESRX US,ETN US,EURN BB,EZJ LN,FB US,FCA IM,FER SM,FLO US,FMC US,FMG AU,FORTUM FH,FR FP,FTSI US,FUM1V FH,G IM,GAS SM,GDI US,GE US,GEL US,GET FP,GIS US,GIVN VX,GKN LN,GLNG US,GM US,GNK LN,GOOG US,GOOGL US,GS US,GTK IM,GTO NA,GWW US,HAL US,HAS US,HEXAB SS,HL/ LN,HMB SS,HO FP,HOG US,HPE US,HRL US,HSBA LN,HUB/B US,HUM UN,HUM US,HUSQB SS,IAG LN,IAG SM,IBE SM,IBM US,IFF US,IGT US,IJ SS,ILU AU,IMB LN,IMT LN,INTC US,INTRUM SS,IQV US,ISP IM,ITRI US,ITRK LN,ITX SM,JACK US,JE/ LN,JMAT LN,JMT PL,JPM US,K US,KER FP,KGF LN,KMB US,KMT US,KN FP,KNEBV FH,KNX US,KRFT US,KSS US,L US,LAND LN,LAND SW,LB US,LBRT US,LBTYA US,LI FP,LNG AU,LNG US,LONN SW,LONN VX,LPG US,LUX IM,LVS US,LYB US,MAERSKB DC,MAS US,MAT US,MBLY US,MC FP,MCRO LN,MEOH US,MERL LN,MFS US,MGGT LN,MGM US,MHG NO,MKS LN,ML FP,MONC IM,MPEL US,MRL SM,MRO LN,MRVL US,MS IM,MS US,MT NA,MU US,NDA SS,NESN VX,NESTE FH,NFLX US,NG/ LN,NGVT US,NHL LN,NHY NO,NIO US,NOMD US,NOW US,NWL US,NXT LN,NZYMB DC,OA US,OCI NA,OEC US,OERL SW,OIH US,OLED US,OMC US,OR FP,PANW US,PBH US,PEP US,PFC LN,PHIA NA,PLAY US,PLUS LN,PMI IM,PNDORA DC,PNN LN,PPC US,PPG US,PRY IM,PSX US,PX US,PZZA US,QRVO US,QSR CN,QUNR US,RAND NA,RB/ LN,RBC US,RCO FP,RDSA NA,REL LN,REP SM,RI FP,RIO LN,RMG LN,RNO FP,ROK US,RPC LN,RPM US,RR/ LN,RRC US,RRR US,RXL FP,RYA LN,S32 LN,SABR US,SAF FP,SAFM US,SAN SM,SAND SS,SCAB SS,SCG US,SE US,SEAS US,SEBA SS,SEDG US,SEE US,SESG FP,SEV FP,SFER IM,SGRE SM,SGSN VX,SHW US,SJM US,SLA LN,SLB UN,SLB US,SLHN VX,SMIN LN,SO US,SOLB BB,SPR US,SPW US,SQM US,SRG IM,SSABA SS,SSE LN,ST US,STAN LN,STERV FH,STL NO,STLD US,STM FP,STX US,STZ US,SU FP,SUM US,SUN SW,SUNE US,SVT LN,SWEDA SS,SWMA SS,SXT US,SYNN VX,TATE LN,TEC FP,TEF SM,TEL NO,TGI US,TIT IM,TKWY NA,TOD IM,TPX US,TRE SM,TRELB SS,TRGP US,TRMB US,TRN IM,TSE US,TSLA US,TSM US,TTWO US,TVPT US,UBI FP,UBSG SW,UBSG VX,UCG IM,UG FP,UHR VX,UMI BB,UNVR US,US IM,USO US,UU/ LN,VAL US,VIE FP,VK FP,VLO US,VMW US,VOD LN,VOLVB SS,VPK NA,VRNS US,VSM US,VST US,VSTE US,WAB US,WBA US,WBC US,WDAY US,WEIR LN,WG/ LN,WIZZ LN,WKL NA,WMB US,WOS LN,WPG LN,WPP LN,WST US,WTB LN,WWW US,WYNN US,XOP US,XPO US,XXL NO,YAR NO,YNAP IM,ZC FP,AS51 Index,HSI Index,KOSPI Index,SPX Index,SX5E Index,TPX Index
2015-01-02,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-60865.751012,,,-80435.554539,,,,,,,,,,,,,,,,,,,,,,242765.0,,,,,,,,,,,,,-369525.274444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2626.95,,-112160.549381,,,,,,,,,,,,,,,,,,,,,,,,,,453787.506249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39636.758231,,,,,,,7541.360682,,,,,-19814.9,,,,,,,,,,,,,,,,,,,,,,,,134935.620367,,,,,,,,,,,,,,,,,,,,,,,,,,,182703.1473,,,,,,,,,218333.414016,,,,,,,,,,-33605.655561,,,,,,,,,,,,,,,,,5283.692576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7431.55,,-70499.418411,,,,,,,4390.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157939.744155,-239976.0,1658.2,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,10614.197316,,-144797.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47906.169058,,,,,,
2015-01-05,,,,,,,,-153541.100189,,,,,,,,,,,,,,,,,,,,,,,,,,-43231.117764,,,-168513.758798,,,,,,,,,,,,,,,,,,,,,,-383568.7,,,,,,,,,,,,,647866.666391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178632.6,,-227909.099399,,,,,,,,,,,,,,,,,,,,,,,,,,-102065.358354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130119.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151349.457012,,,,,,,-106056.766515,,,,,83505.65,,,,,,,,,,,,,,,,,,,,,,,,515522.214616,,,,,,,,,,,,,,,,,,,,,,,,,,,-386467.190759,,,,,,,,,-76654.324208,,,,,,,,,,-710105.41,,,,,,,,,,,,,,,,,147173.175036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75626.95,,880275.26356,,,,,,,102343.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582400.461288,-155984.4,119058.76,,,,,,,,,,,,,,,,,,,,,128596.21404,,,,,,,,,,,-15913.249481,,344382.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-89074.754718,-0.0,0.0,0.0,-287935.23468374816,640307.4548537849,73514.32489946159
2015-01-06,,,,,,,,-719140.437366,,,,,,,,,,,,,,,,,,,,,,,,,,-332570.163393,,,18624.401825,,,,,,,,,,,,,,,,,,,,,,-208777.9,,,,,,,,,,,,,341150.093467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98747.095097,,-130465.922696,,,,,,,,,,,,,,,,,,,,,,,,,,-10705.927014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33803.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128822.880384,,,,,,,27755.308212,,,,,55764.79,,,,,,,,,,,,,,,,,,,,,,,,204076.050654,,,,,,,,,,,,,,,,,,,,,,,,,,,-152871.100308,,,,,,,,,114235.244803,,,,,,,,,,-374615.660131,,,,,,,,,,,,,,,,,-148986.941776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69069.7,,70354.523736,,,,,,,33748.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110853.687395,-197980.2,48751.08,,,,,,,,,,,,,,,9364.281185,,,,,,-34661.77007,,,,,,,,,,,0.0,,146754.0,,,,,,,,,,,,,,,,,,,,,,,,,-5318.785268,,,,,,,,,,,,,,,,,,,,,,,,,,148052.156015,0.0,0.0,0.0,-124624.37596956585,101341.37012677976,458372.53806628915
2015-01-07,,,,,,,,77109.243698,,,,,,,,,,,,,,,,,,,,,,,,,,-380934.12168,,,157531.742419,,,,,,,,,,,,,,,,,,,,,,101961.3,,,,,,,,,,,,,491414.03197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-121933.0,,4811.763268,,,,,,,,,,,,,,,,,,,,,,,,,,634325.500149,,,,,,,,,,,,,,,,,,,,,,49300.123987,,,,,,,,,,,,,,,,,,-8798.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100122.123851,,,,,,,113743.715496,,,,,-566.14,,,,,,,,,,,,,,,,,,,,,,,,42045.180388,,,,,,,,,,,,,,,,,,,,,,,,,,,-2684.371419,,,,,,,,,-63317.456749,,,,,,,,,,16579.611001,,,,102875.52322,,,,,,,,,,,,,216725.783339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311.45,,-242327.19867,,,,,,,-4938.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103894.398174,197980.2,331.64,,,,,,,,,,,,,,,32385.692361,,,,,,-19467.692612,,,,,,,,,,,-232066.080817,,123273.36,,,,,,,,,,,,,,,,,,,,,,,,,31035.359849,,,,,,,,,,,,,,,,,,,,,,,,,,42122.837472,0.0,-0.0,-0.0,204771.08215167627,-144361.61108890065,15232.68150770843
2015-01-08,,,,,,,,-38333.959978,,,,,,,,,,,,,,,,,,,,,,,,,,-507954.803002,,,487445.580004,,,,,,,,,,,,,,,,,,,,,,369002.8,,,,,,,,,,,,,-980647.94441,,,,,,,,,,,,,,-7150.629368,,,,,,,,,,,,,,,,,,-200318.5,,4786.78453,,,,,,,,,,,,,,,,,,,,,,,,,,641638.191239,,,,,,,,,,,,,,,,,,,,,,-173833.490181,,,,,,,,,,,,,,,,,,-106966.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-370396.319858,,,,,,,178718.6865,,,,,-81807.23,,,,,,,,,,,,,,,,,,,,,,,,-623221.0517,,,,,,,,,,,,,,,,,,,,,,,,,,,407051.8711,,,,,,,,,-290586.087078,,,,,,,,,,461819.210461,,,,-255399.003239,,,,,,,,,,,,,-317816.724231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4808.65,,-156098.210679,,,,,,,-85880.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-561993.157723,839916.0,-54057.32,,,,,,,,,,,,,,,-107285.057047,,,,,,-112032.183682,,,,,,,,,,,234990.391254,,-129143.52,,,,,,,,,,,,,,,,,,,,,,,,,283818.658564,,,,,,,,,,,,,,,,,,,,,,,,,,240948.978501,-0.0,-0.0,-0.0,301002.2623172971,-603552.6080462236,-203779.7617714898
2015-01-09,,,,,,,,194186.571259,,,,,,,,,,,,,,,,,,,,,,,,,,258023.91357,,,14803.052387,,,,,,,,,,,,,,,,,,,,,,-291318.0,,,,,,,,,,,,,1515016.84941,,,,,,,,,,,,,,-17247.305793,,,,,,,,,,,,,,,,,,123674.9,,-336652.842011,,,,,,,,,,,,,,,,,,,,,,,,,,399582.505052,,,,,,,,,,,,,,,,,,,,,,45564.167656,,,,,,,,,,,,,,,,,,38433.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171997.746709,,,,,,,142287.46666,,,,,-32836.12,,,,,,,,,,,,,,,,,,,,,,,,225528.189795,,,,,,,,,,,,,,,,,,,,,,,,,,,-30771.679613,,,,,,,,,152409.135069,,,,,,,,,,-231996.997909,,,,174492.476417,,,,,,,,,,,,,34211.145421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21420.35,,211017.139134,,,,,,,51583.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343975.896564,-413958.6,17245.28,,,,,,,,,,,,,,,-3958.822867,,,,,,-59412.099601,,,,,,,,,,,-20857.421427,,19567.2,,,,,,,,,,,,,,,,,,,,,,,,,201466.441316,,,,,,,,,,,,,,,,,,,,,,,,,,44206.579254,-0.0,-0.0,-0.0,-148913.92203643877,172224.55796434032,-32485.19047217241
2015-01-12,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-155182.691847,,,34111.10003,,,,,,,,,,,,,,,,,,,,,,208777.9,,,,,,,,,,,,,-70235.75007,,,,,,,,,,,,,,23495.487362,,,,,,,,,,,,,,,,,,59224.6,,264641.807056,,,,,,,-4643.919722,,,,,,,,,,,,,,,,,,,351588.05703,,,,,,,,,,,,,,,,,,,,,,70089.838846,,,,,,,,,,,,,,,,,,27101.029323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-187610.134654,,,,,,,-142233.529003,,,,,18944.337068,,,,,,,,,,,,,,,,,,,,,,,,-233903.3307,,,,,,,,,,,,,,,,,,,,,,,,,-9611.054855,,-26395.817917,,,,,,,,,-50851.623027,,,,,,,,,,164065.131471,,,,-66382.218695,,,,,,,,,,,,,-387561.348945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000.296762,,193196.034341,,,,,,,41431.903681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12978.578081,-275972.4,40427.636068,,,,,,,,,,,,,,,205919.394726,,,,,,,,,,,,,,,,,-5207.208772,,-21484.398196,,,,,,,,,,,,,,,,,,,,,,,,,856130.773725,,,,,,,,,,,,,,,,,,,,,,,,,,-109450.042839,0.0,-0.0,0.0,-153165.44008345722,-88459.91131867682,-0.0
2015-01-13,,,,,,,,-126605.800671,,,,,,,,,,,,,,,,,,,,,,,,,,-237081.968155,,,422706.393593,,,,,,,,,,,,,,,,,,,,,,-276752.1,,,,,,,,,,,,,-837045.086921,,,,,,,,,,,,,,-161697.16992,,,,,,,,,,,,,,,,,,153287.2,,38258.040983,,,,,,,-205518.217889,,,,,,,,,,,,,,,,,,,-322894.116827,,,,,,,,,,,,,,,,8759.845345,,,,,,-748692.778469,,,,,,,,,,,,,,,,,,1171.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314097.219371,,,,,,,387072.848843,,,,,4678.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32151.68,,306686.485503,,,,,,,,,-63426.335982,,,,,,,,,,468631.7649,,,,-24854.950865,,,,,,,,,,,,,87913.308931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12668.4,,-58096.847874,,,,,,,53227.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-232134.525335,119988.0,-83757.56,,,,,,,,,,,,,,,-111692.151508,,,,,,,,,,,,,,,,,202768.02665,,-79219.753171,,,,,,,,,,,,,,,,,,,,,,,,,-226735.468667,,,,,,,-9506.020745,,,,,,,,,,,,,,,,,,,144311.785969,0.0,-0.0,0.0,-61907.619185204276,-91021.15444431153,49636.0729666144
2015-01-14,,,,,,,,-92422.31789,,,,,,,,,,,,,,,,,,,,,,,,,,164018.173327,,,-423342.694659,,,,,,,,,,,,,,,,,,,,,,-519517.1,,,,,,,,,,,,,-821853.075077,,,,,,,,,,,,,,141147.934804,,,,,,,,,,,,,,,,,,243866.0,,81398.15768,,,,,,,205474.54995,,,,,,,,,,,,,,,,,,,883576.558354,,,,,,,,,,,,,,,,-47475.762559,,,,,,913368.665118,,,,,,,,,,,,,,,,,,67130.416638,,,,,-12239.47908,,,,,,,,,,,,,,,,,,,,,,,,225940.546747,,,,,,,-166982.151929,,,,,49234.650438,,,-24998.834939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43843.2,,-290461.411787,,,,,,,,,229450.399644,,,,,,,,,,-203593.224976,,,,206743.100837,,,,,,,,,,,,,-43827.706876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7491.278759,,424080.266904,,,,,,,-21814.657129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219480.422098,-269973.0,19149.614247,,,,,,,,-71121.419125,,,,,,,158355.428645,,,,,,,,,,,,,,,,,-88223.270188,,128911.75,,,,,,,,,,48232.795279,,,,,,,,,,,,,,,139211.433531,,,,,,,18939.69,,,,,,,,,,,,,,,,,,,39781.938744,0.0,0.0,0.0,-192454.23097636306,221734.97956644607,140603.18784363777
2015-01-15,,,,,,,,-51161.561562,,,,,,,,,,,,,,,,,,,,,,,,,,-429893.219265,,,12942.509269,,,,,,,,,,,,,,,,,,,,,,-325305.1,,,,,,,,,,,,,8679394.897704,,,,,,,,,,,,,,-111490.493009,,,,,,,,,,,,,,,,,,-17419.0,,-26.773819,,,,,,,-94994.488618,,,,,,,,,,,,,,,,,,,-556187.306865,,,,,,,,,,,,,,,,23006.28,,,,,,-199320.478548,,,,,,,,,,,,,,,,,,12080.2,-7759.618267,,,,114648.749164,,,,,,,,,,,,,,,,,,,,,,,,-195850.644312,,,,658.108287,,,247539.26371,,,,,22273.23,,,18303.853587,,,,,,,,,,,,,,,,,,,,,273434.453619,,,,,,,,,,,,,,,,,,,,,,,,,730.72,,315732.703663,,,,,,,,,-139892.63092,,,,,,-7885.716204,,,,270505.618713,,,,-336572.795877,,,,,,,,,,,,,52837.6872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54528.36,,-414244.68504,,,,,,,2992.5,,,,,,,,,,,,,,,,,,,,12727.625493,,,,,,,,,,,,,,-439081.43125,0.0,2650.5,,,,,,,,-56316.848686,,,,,,,1018154.577746,,,,,,,,,,,,,,,,,103031.106202,,132427.525,,,,,,,,,,-114550.5947,,,,,,,,,,,,,,,906339.380275,,,,,,,148450.59772,,,,,,,,,,,,,,,,,,,513938.08412,0.0,-0.0,-0.0,-391512.0678103467,-403619.9101083081,-157929.22857879993
