,Market cap,post_return_net_20_last,post_revision,post_revision_last,pre_revision,pre_EPS_avg,stock_mom,stock_mom_short,beta,30d_vol,EAR_net,EAR_net_last,yield_slope,vix,gold,oil,momentum_long_MA_150,market_MA_50,stock_MA_n_150,inflation,result_net_20
Market cap,1.0,0.055602896235582254,-0.16605215477049598,0.048497925932293566,-0.03845887961807718,-0.01127718692359052,0.08555727816619074,0.014600722775186722,-0.17960910338628058,-0.316824268847816,-0.24995451352663356,0.02586180125140344,-0.10618011485656038,-0.11685151234858174,0.0545157021563637,-0.040314861036431324,0.06692183709710525,0.01765879554832935,0.08627285987605425,0.13768231291826438,0.018675231445674453
post_return_net_20_last,0.055602896235582254,1.0,-0.006305966610766893,0.020058632303388946,0.06464338724823983,0.0004590403099782123,0.1827763603848544,-0.0760154044923438,-0.06437718040350258,-0.07301104466059204,-0.026190093085477588,0.018767464280175325,0.018720945100447108,0.0010334674608905269,-0.02586467133192841,-0.0038459293180087488,0.003280226767808041,-0.05021866124637096,0.2280879031976572,0.002554869266325377,0.029397952492741672
post_revision,-0.16605215477049598,-0.006305966610766893,1.0,-0.033305566015232664,0.260352617816458,0.00930739713917067,-0.008008996101815586,0.05818924497544339,0.15150750945857855,0.1945078706363922,0.19208244099559035,0.013921292165769598,0.03654624838485653,0.018461653082280847,-0.04364006139554861,-0.037211222015840616,-0.07390374543330368,0.03326527633058185,0.06573015135866538,-0.02561839121513983,0.006963720251318545
post_revision_last,0.048497925932293566,0.020058632303388946,-0.033305566015232664,1.0,0.02149021054076942,-0.0047525679486016634,0.17965001351013232,-0.025735435554730245,0.006266442276798869,-0.06238333884547388,-0.031051024729653737,0.2202382872231354,0.02697500197712149,0.00019945110913192448,0.0018047804197675508,0.009256127977657826,0.020315568898811726,-0.016727645052537363,0.10488180232510716,-0.017975867848850833,0.0006997490892956983
pre_revision,-0.03845887961807718,0.06464338724823983,0.260352617816458,0.02149021054076942,1.0,-0.024621164397685455,0.1541327540455575,0.04773463665536229,0.1102335967149371,0.0153162838552351,0.036183377345414554,0.03650973682018168,0.04687672278544902,-0.020233447204602222,-0.0027874899057105974,0.033529507583882644,-0.00974873039490921,0.00851330464996566,0.13785729781218503,-0.019935483719019535,-0.022945713426681082
pre_EPS_avg,-0.01127718692359052,0.0004590403099782123,0.00930739713917067,-0.0047525679486016634,-0.024621164397685455,1.0,-0.04162498298426668,0.028631400506517534,0.02425618685253875,0.040289200000235115,0.0033626472699088247,-0.010735818735942987,0.011280269003693258,0.013794130604032858,-0.0031757731883876664,0.0009186177823856166,-0.016352637217976772,0.013256768990170125,-0.011549898050478086,-0.0160599212104305,-0.006143081420941417
stock_mom,0.08555727816619074,0.1827763603848544,-0.008008996101815586,0.17965001351013232,0.1541327540455575,-0.04162498298426668,1.0,-0.1248476289930186,0.0695606861595093,-0.25474449956113504,-0.10188530670898203,0.18361251671446577,0.10041039326088871,-0.1757578697650455,0.1517256962713153,0.13550782918869525,0.26940571780935485,-0.05753612261634034,0.3364902751446199,0.037920978427850624,-0.008980706172204327
stock_mom_short,0.014600722775186722,-0.0760154044923438,0.05818924497544339,-0.025735435554730245,0.04773463665536229,0.028631400506517534,-0.1248476289930186,1.0,0.04498700962494992,0.05300240223488688,-0.040626978710645044,-0.021814754136253067,0.04889207375377989,-0.14738024071153732,0.018143044165812323,0.012351896146077923,-0.177994777982474,0.4619698226910706,0.3598884704335548,-0.0731766428641582,-0.015168551141762573
beta,-0.17960910338628058,-0.06437718040350258,0.15150750945857855,0.006266442276798869,0.1102335967149371,0.02425618685253875,0.0695606861595093,0.04498700962494992,1.0,0.3474717336156713,0.1342468429336571,-0.0005842295365704112,0.07125496389038276,-0.07908956084412808,0.104661955323473,0.05281049207823329,0.03392018638545352,0.07874300508834314,-0.004665393735298321,-0.051587794122650216,-0.05235852128645776
30d_vol,-0.316824268847816,-0.07301104466059204,0.1945078706363922,-0.06238333884547388,0.0153162838552351,0.040289200000235115,-0.25474449956113504,0.05300240223488688,0.3474717336156713,1.0,0.24223631637093546,-0.024140953183107078,0.14941368804723254,0.4735896572031225,-0.24594770206634806,-0.004427934490616941,-0.23127978174397656,-0.13786573819192044,-0.2803457749662889,-0.2660889290352516,-0.016327230834068885
