Holding,Target size,Net,Sizing scheme,Max size,Exit rate,return,sharpe,drawdown
10,0.05,0,constant volume exit,0.1,0.05,3.7%,3.32,0.8%
10,0.05,0,constant volume exit,0.15,0.05,3.7%,3.32,0.8%
10,0.05,0,constant volume exit,0.2,0.05,3.7%,3.32,0.8%
10,0.05,0,constant volume exit,0.1,0.03,3.6%,3.12,0.8%
10,0.05,0,constant volume exit,0.15,0.03,3.6%,3.12,0.8%
10,0.05,0,constant volume exit,0.2,0.03,3.6%,3.12,0.8%
20,0.05,0,constant volume exit,0.1,0.05,3.6%,3.10,1.5%
20,0.05,0,constant volume exit,0.15,0.05,3.6%,3.10,1.5%
20,0.05,0,constant volume exit,0.2,0.05,3.6%,3.10,1.5%
10,0.05,0,fix allocation volume exit,0.1,0.05,4.6%,2.99,1.1%
20,0.05,0,constant volume exit,0.1,0.03,3.4%,2.91,1.5%
20,0.05,0,constant volume exit,0.15,0.03,3.4%,2.91,1.5%
20,0.05,0,constant volume exit,0.2,0.03,3.4%,2.91,1.5%
10,0.1,0,constant volume exit,0.1,0.05,4.5%,2.91,1.2%
10,0.1,0,constant volume exit,0.15,0.05,4.5%,2.91,1.2%
10,0.1,0,constant volume exit,0.2,0.05,4.5%,2.91,1.2%
10,0.1,0,fix allocation volume exit,0.1,0.05,4.5%,2.91,1.2%
10,0.15,0,fix allocation volume exit,0.1,0.05,4.5%,2.89,1.2%
10,0.05,0,fix allocation volume exit,0.1,0.03,4.4%,2.82,1.2%
10,0.1,0,constant volume exit,0.1,0.03,4.4%,2.77,1.3%
10,0.1,0,constant volume exit,0.15,0.03,4.4%,2.77,1.3%
10,0.1,0,constant volume exit,0.2,0.03,4.4%,2.77,1.3%
10,0.1,0,fix allocation volume exit,0.1,0.03,4.4%,2.77,1.3%
10,0.05,0,constant volume exit,0.1,0.01,3.4%,2.77,1.1%
10,0.05,0,constant volume exit,0.15,0.01,3.4%,2.77,1.1%
10,0.05,0,constant volume exit,0.2,0.01,3.4%,2.77,1.1%
10,0.05,0,fix allocation volume exit,0.15,0.05,5.1%,2.77,1.4%
10,0.15,0,fix allocation volume exit,0.1,0.03,4.4%,2.75,1.3%
20,0.05,0,fix allocation volume exit,0.1,0.05,4.4%,2.75,2.3%
10,0.1,0,fix allocation volume exit,0.15,0.05,5.0%,2.70,1.5%
10,0.15,0,constant volume exit,0.1,0.05,5.0%,2.68,1.5%
10,0.15,0,constant volume exit,0.15,0.05,5.0%,2.68,1.5%
10,0.15,0,constant volume exit,0.2,0.05,5.0%,2.68,1.5%
10,0.15,0,fix allocation volume exit,0.15,0.05,5.0%,2.68,1.5%
20,0.1,0,constant volume exit,0.1,0.05,4.3%,2.66,2.3%
20,0.1,0,constant volume exit,0.15,0.05,4.3%,2.66,2.3%
20,0.1,0,constant volume exit,0.2,0.05,4.3%,2.66,2.3%
20,0.1,0,fix allocation volume exit,0.1,0.05,4.3%,2.66,2.3%
20,0.15,0,fix allocation volume exit,0.1,0.05,4.3%,2.65,2.3%
10,0.05,0,fix allocation volume exit,0.15,0.03,4.9%,2.63,1.5%
20,0.05,0,fix allocation volume exit,0.1,0.03,4.2%,2.60,2.3%
20,0.05,0,constant volume exit,0.1,0.01,3.3%,2.59,1.5%
20,0.05,0,constant volume exit,0.15,0.01,3.3%,2.59,1.5%
20,0.05,0,constant volume exit,0.2,0.01,3.3%,2.59,1.5%
10,0.1,0,fix allocation volume exit,0.15,0.03,4.9%,2.59,1.6%
10,0.05,0,fix allocation volume exit,0.2,0.05,5.3%,2.57,1.6%
10,0.05,0,fix allocation volume exit,0.1,0.01,4.2%,2.56,1.4%
10,0.15,0,constant volume exit,0.1,0.03,4.8%,2.56,1.6%
10,0.15,0,constant volume exit,0.15,0.03,4.8%,2.56,1.6%
10,0.15,0,constant volume exit,0.2,0.03,4.8%,2.56,1.6%
10,0.15,0,fix allocation volume exit,0.15,0.03,4.8%,2.56,1.6%
20,0.1,0,constant volume exit,0.1,0.03,4.2%,2.53,2.3%
20,0.1,0,constant volume exit,0.15,0.03,4.2%,2.53,2.3%
20,0.1,0,constant volume exit,0.2,0.03,4.2%,2.53,2.3%
20,0.1,0,fix allocation volume exit,0.1,0.03,4.2%,2.53,2.3%
