Holding,Target size,Net,Sizing scheme,Max size,Exit rate,return,sharpe,drawdown,rank
10,0.05,0,fix allocation volume exit,0.2,0.05,5.3%,2.57,1.6%,903
10,0.05,0,fix allocation volume exit,0.15,0.05,5.1%,2.77,1.4%,880
10,0.1,0,fix allocation volume exit,0.2,0.05,5.2%,2.51,1.7%,857
10,0.15,0,fix allocation volume exit,0.2,0.05,5.2%,2.49,1.7%,849
10,0.1,0,fix allocation volume exit,0.15,0.05,5.0%,2.70,1.5%,837
10,0.15,0,constant volume exit,0.1,0.05,5.0%,2.68,1.5%,829.5
10,0.15,0,constant volume exit,0.15,0.05,5.0%,2.68,1.5%,829.5
10,0.15,0,constant volume exit,0.2,0.05,5.0%,2.68,1.5%,829.5
10,0.15,0,fix allocation volume exit,0.15,0.05,5.0%,2.68,1.5%,829.5
10,0.05,0,fix allocation volume exit,0.2,0.03,5.2%,2.46,1.7%,829
10,0.1,0,fix allocation volume exit,0.2,0.03,5.1%,2.41,1.8%,812
10,0.05,0,fix allocation volume exit,0.15,0.03,4.9%,2.63,1.5%,811
10,0.05,0.1,fix allocation volume exit,0.2,0.05,5.6%,2.16,3.6%,806
10,0.15,0,fix allocation volume exit,0.2,0.03,5.1%,2.38,1.8%,801
10,0.1,0,fix allocation volume exit,0.15,0.03,4.9%,2.59,1.6%,777
10,0.05,0,fix allocation volume exit,0.1,0.05,4.6%,2.99,1.1%,767
10,0.15,0,constant volume exit,0.1,0.03,4.8%,2.56,1.6%,766.5
10,0.15,0,constant volume exit,0.15,0.03,4.8%,2.56,1.6%,766.5
10,0.15,0,constant volume exit,0.2,0.03,4.8%,2.56,1.6%,766.5
10,0.15,0,fix allocation volume exit,0.15,0.03,4.8%,2.56,1.6%,766.5
10,0.05,0.1,fix allocation volume exit,0.15,0.05,5.3%,2.21,3.6%,762
10,0.1,0.1,fix allocation volume exit,0.2,0.05,5.5%,2.11,3.6%,747
10,0.05,0,fix allocation volume exit,0.2,0.01,5.0%,2.27,2.0%,745
10,0.1,0,constant volume exit,0.1,0.05,4.5%,2.91,1.2%,735.5
10,0.1,0,constant volume exit,0.15,0.05,4.5%,2.91,1.2%,735.5
10,0.1,0,constant volume exit,0.2,0.05,4.5%,2.91,1.2%,735.5
10,0.1,0,fix allocation volume exit,0.1,0.05,4.5%,2.91,1.2%,735.5
10,0.15,0.1,fix allocation volume exit,0.2,0.05,5.5%,2.10,3.6%,734
10,0.15,0,fix allocation volume exit,0.1,0.05,4.5%,2.89,1.2%,724
10,0.05,0,fix allocation volume exit,0.1,0.03,4.4%,2.82,1.2%,723
10,0.1,0.1,fix allocation volume exit,0.15,0.05,5.2%,2.16,3.6%,713
10,0.05,0,fix allocation volume exit,0.15,0.01,4.7%,2.42,1.7%,707
10,0.05,0.1,fix allocation volume exit,0.2,0.03,5.4%,2.08,3.6%,706
10,0.1,0,constant volume exit,0.1,0.03,4.4%,2.77,1.3%,704.5
10,0.1,0,constant volume exit,0.15,0.03,4.4%,2.77,1.3%,704.5
10,0.1,0,constant volume exit,0.2,0.03,4.4%,2.77,1.3%,704.5
10,0.1,0,fix allocation volume exit,0.1,0.03,4.4%,2.77,1.3%,704.5
10,0.1,0,fix allocation volume exit,0.2,0.01,4.9%,2.20,3.1%,704
20,0.05,0,fix allocation volume exit,0.15,0.05,4.8%,2.51,3.3%,702
10,0.15,0.1,constant volume exit,0.1,0.05,5.2%,2.15,3.6%,697
10,0.15,0.1,constant volume exit,0.15,0.05,5.2%,2.15,3.6%,697
10,0.15,0.1,constant volume exit,0.2,0.05,5.2%,2.15,3.6%,697
10,0.15,0.1,fix allocation volume exit,0.15,0.05,5.2%,2.15,3.6%,697
10,0.1,0.1,fix allocation volume exit,0.2,0.03,5.3%,2.05,3.6%,684
10,0.15,0,fix allocation volume exit,0.1,0.03,4.4%,2.75,1.3%,684
10,0.15,0,constant volume exit,0.1,0.01,4.8%,2.35,2.9%,672.5
10,0.15,0,constant volume exit,0.15,0.01,4.8%,2.35,2.9%,672.5
10,0.15,0,constant volume exit,0.2,0.01,4.8%,2.35,2.9%,672.5
10,0.15,0,fix allocation volume exit,0.15,0.01,4.8%,2.35,2.9%,672.5
10,0.05,0,constant volume exit,0.1,0.05,3.7%,3.32,0.8%,671
10,0.05,0,constant volume exit,0.15,0.05,3.7%,3.32,0.8%,671
10,0.05,0,constant volume exit,0.2,0.05,3.7%,3.32,0.8%,671
10,0.1,0,fix allocation volume exit,0.15,0.01,4.7%,2.36,2.4%,662
20,0.05,0,fix allocation volume exit,0.1,0.05,4.4%,2.75,2.3%,661
20,0.1,0,fix allocation volume exit,0.15,0.05,4.7%,2.43,3.3%,658
10,0.05,0,constant volume exit,0.1,0.03,3.6%,3.12,0.8%,656
10,0.05,0,constant volume exit,0.15,0.03,3.6%,3.12,0.8%,656
10,0.05,0,constant volume exit,0.2,0.03,3.6%,3.12,0.8%,656
20,0.05,0,fix allocation volume exit,0.2,0.05,5.0%,2.32,3.9%,656
10,0.05,0.1,fix allocation volume exit,0.15,0.03,5.1%,2.12,3.6%,651
10,0.15,0,fix allocation volume exit,0.2,0.01,5.0%,2.20,3.6%,648
10,0.05,0,fix allocation volume exit,0.1,0.01,4.2%,2.56,1.4%,644
20,0.15,0,constant volume exit,0.1,0.05,4.7%,2.42,3.3%,641.5
20,0.15,0,constant volume exit,0.15,0.05,4.7%,2.42,3.3%,641.5
20,0.15,0,constant volume exit,0.2,0.05,4.7%,2.42,3.3%,641.5
20,0.15,0,fix allocation volume exit,0.15,0.05,4.7%,2.42,3.3%,641.5
20,0.05,0,fix allocation volume exit,0.15,0.03,4.6%,2.38,3.3%,636
10,0.15,0.1,fix allocation volume exit,0.2,0.03,5.3%,2.03,3.6%,635
10,0.1,0.1,fix allocation volume exit,0.15,0.03,5.1%,2.09,3.6%,633
20,0.05,0,constant volume exit,0.1,0.05,3.6%,3.10,1.5%,630
20,0.05,0,constant volume exit,0.15,0.05,3.6%,3.10,1.5%,630
20,0.05,0,constant volume exit,0.2,0.05,3.6%,3.10,1.5%,630
10,0.05,0.1,fix allocation volume exit,0.1,0.05,4.8%,2.18,3.6%,627
10,0.15,0.1,constant volume exit,0.1,0.03,5.1%,2.07,3.6%,624
10,0.15,0.1,constant volume exit,0.15,0.03,5.1%,2.07,3.6%,624
10,0.15,0.1,constant volume exit,0.2,0.03,5.1%,2.07,3.6%,624
10,0.15,0.1,fix allocation volume exit,0.15,0.03,5.1%,2.07,3.6%,624
20,0.1,0,constant volume exit,0.1,0.05,4.3%,2.66,2.3%,623.5
20,0.1,0,constant volume exit,0.15,0.05,4.3%,2.66,2.3%,623.5
20,0.1,0,constant volume exit,0.2,0.05,4.3%,2.66,2.3%,623.5
20,0.1,0,fix allocation volume exit,0.1,0.05,4.3%,2.66,2.3%,623.5
10,0.05,0.1,fix allocation volume exit,0.2,0.01,5.2%,1.98,3.5%,623
10,0.05,0,constant volume exit,0.1,0.01,3.4%,2.77,1.1%,621
10,0.05,0,constant volume exit,0.15,0.01,3.4%,2.77,1.1%,621
10,0.05,0,constant volume exit,0.2,0.01,3.4%,2.77,1.1%,621
20,0.05,0,constant volume exit,0.1,0.03,3.4%,2.91,1.5%,617
20,0.05,0,constant volume exit,0.15,0.03,3.4%,2.91,1.5%,617
20,0.05,0,constant volume exit,0.2,0.03,3.4%,2.91,1.5%,617
20,0.15,0,fix allocation volume exit,0.1,0.05,4.3%,2.65,2.3%,614
20,0.05,0,fix allocation volume exit,0.1,0.03,4.2%,2.60,2.3%,613
20,0.1,0,fix allocation volume exit,0.2,0.05,4.9%,2.25,4.0%,609
20,0.1,0,fix allocation volume exit,0.15,0.03,4.6%,2.32,3.3%,608
10,0.1,0,constant volume exit,0.1,0.01,4.3%,2.49,1.8%,604.5
10,0.1,0,constant volume exit,0.15,0.01,4.3%,2.49,1.8%,604.5
10,0.1,0,constant volume exit,0.2,0.01,4.3%,2.49,1.8%,604.5
10,0.1,0,fix allocation volume exit,0.1,0.01,4.3%,2.49,1.8%,604.5
10,0.05,0.1,fix allocation volume exit,0.15,0.01,5.0%,2.02,3.4%,602.5
10,0.15,0,fix allocation volume exit,0.1,0.01,4.3%,2.49,2.1%,602
20,0.05,0.1,constant,0.1,0.01,5.6%,2.11,5.8%,601
20,0.05,0.1,constant,0.1,0.03,5.6%,2.11,5.8%,601
20,0.05,0.1,constant,0.1,0.05,5.6%,2.11,5.8%,601
20,0.05,0.1,constant,0.15,0.01,5.6%,2.11,5.8%,601
20,0.05,0.1,constant,0.15,0.03,5.6%,2.11,5.8%,601
20,0.05,0.1,constant,0.15,0.05,5.6%,2.11,5.8%,601
20,0.05,0.1,constant,0.2,0.01,5.6%,2.11,5.8%,601
20,0.05,0.1,constant,0.2,0.03,5.6%,2.11,5.8%,601
20,0.05,0.1,constant,0.2,0.05,5.6%,2.11,5.8%,601
20,0.15,0,fix allocation volume exit,0.2,0.05,4.9%,2.23,4.0%,599
10,0.05,0.1,fix allocation,0.1,0.01,5.5%,2.04,5.1%,597.5
10,0.05,0.1,fix allocation,0.1,0.03,5.5%,2.04,5.1%,597.5
10,0.05,0.1,fix allocation,0.1,0.05,5.5%,2.04,5.1%,597.5
10,0.1,0.1,constant,0.1,0.01,5.5%,2.04,5.1%,597.5
10,0.1,0.1,constant,0.1,0.03,5.5%,2.04,5.1%,597.5
10,0.1,0.1,constant,0.1,0.05,5.5%,2.04,5.1%,597.5
10,0.1,0.1,constant,0.15,0.01,5.5%,2.04,5.1%,597.5
10,0.1,0.1,constant,0.15,0.03,5.5%,2.04,5.1%,597.5
10,0.1,0.1,constant,0.15,0.05,5.5%,2.04,5.1%,597.5
10,0.1,0.1,constant,0.2,0.01,5.5%,2.04,5.1%,597.5
10,0.1,0.1,constant,0.2,0.03,5.5%,2.04,5.1%,597.5
10,0.1,0.1,constant,0.2,0.05,5.5%,2.04,5.1%,597.5
10,0.1,0.1,fix allocation,0.1,0.01,5.5%,2.04,5.1%,597.5
10,0.1,0.1,fix allocation,0.1,0.03,5.5%,2.04,5.1%,597.5
10,0.1,0.1,fix allocation,0.1,0.05,5.5%,2.04,5.1%,597.5
10,0.15,0.1,fix allocation,0.1,0.01,5.5%,2.04,5.1%,597.5
10,0.15,0.1,fix allocation,0.1,0.03,5.5%,2.04,5.1%,597.5
10,0.15,0.1,fix allocation,0.1,0.05,5.5%,2.04,5.1%,597.5
20,0.1,0,constant volume exit,0.1,0.03,4.2%,2.53,2.3%,595.5
20,0.1,0,constant volume exit,0.15,0.03,4.2%,2.53,2.3%,595.5
20,0.1,0,constant volume exit,0.2,0.03,4.2%,2.53,2.3%,595.5
20,0.1,0,fix allocation volume exit,0.1,0.03,4.2%,2.53,2.3%,595.5
20,0.05,0,fix allocation volume exit,0.2,0.03,4.9%,2.21,4.0%,592
20,0.15,0,constant volume exit,0.1,0.03,4.5%,2.30,3.3%,590.5
20,0.15,0,constant volume exit,0.15,0.03,4.5%,2.30,3.3%,590.5
20,0.15,0,constant volume exit,0.2,0.03,4.5%,2.30,3.3%,590.5
20,0.15,0,fix allocation volume exit,0.15,0.03,4.5%,2.30,3.3%,590.5
20,0.15,0,fix allocation volume exit,0.1,0.03,4.1%,2.51,2.3%,583
10,0.05,0,fix allocation,0.1,0.01,5.3%,1.91,3.9%,580.5
10,0.05,0,fix allocation,0.1,0.03,5.3%,1.91,3.9%,580.5
10,0.05,0,fix allocation,0.1,0.05,5.3%,1.91,3.9%,580.5
10,0.1,0,constant,0.1,0.01,5.3%,1.91,3.9%,580.5
10,0.1,0,constant,0.1,0.03,5.3%,1.91,3.9%,580.5
10,0.1,0,constant,0.1,0.05,5.3%,1.91,3.9%,580.5
10,0.1,0,constant,0.15,0.01,5.3%,1.91,3.9%,580.5
10,0.1,0,constant,0.15,0.03,5.3%,1.91,3.9%,580.5
10,0.1,0,constant,0.15,0.05,5.3%,1.91,3.9%,580.5
10,0.1,0,constant,0.2,0.01,5.3%,1.91,3.9%,580.5
10,0.1,0,constant,0.2,0.03,5.3%,1.91,3.9%,580.5
10,0.1,0,constant,0.2,0.05,5.3%,1.91,3.9%,580.5
10,0.1,0,fix allocation,0.1,0.01,5.3%,1.91,3.9%,580.5
10,0.1,0,fix allocation,0.1,0.03,5.3%,1.91,3.9%,580.5
10,0.1,0,fix allocation,0.1,0.05,5.3%,1.91,3.9%,580.5
10,0.15,0,fix allocation,0.1,0.01,5.3%,1.91,3.9%,580.5
10,0.15,0,fix allocation,0.1,0.03,5.3%,1.91,3.9%,580.5
10,0.15,0,fix allocation,0.1,0.05,5.3%,1.91,3.9%,580.5
10,0.05,0.1,constant,0.1,0.01,4.6%,2.16,3.4%,576
10,0.05,0.1,constant,0.1,0.03,4.6%,2.16,3.4%,576
10,0.05,0.1,constant,0.1,0.05,4.6%,2.16,3.4%,576
10,0.05,0.1,constant,0.15,0.01,4.6%,2.16,3.4%,576
10,0.05,0.1,constant,0.15,0.03,4.6%,2.16,3.4%,576
10,0.05,0.1,constant,0.15,0.05,4.6%,2.16,3.4%,576
10,0.05,0.1,constant,0.2,0.01,4.6%,2.16,3.4%,576
10,0.05,0.1,constant,0.2,0.03,4.6%,2.16,3.4%,576
10,0.05,0.1,constant,0.2,0.05,4.6%,2.16,3.4%,576
20,0.05,0,constant volume exit,0.1,0.01,3.3%,2.59,1.5%,576
20,0.05,0,constant volume exit,0.15,0.01,3.3%,2.59,1.5%,576
20,0.05,0,constant volume exit,0.2,0.01,3.3%,2.59,1.5%,576
10,0.1,0.1,constant volume exit,0.1,0.05,4.8%,2.13,3.6%,560.5
10,0.1,0.1,constant volume exit,0.15,0.05,4.8%,2.13,3.6%,560.5
10,0.1,0.1,constant volume exit,0.2,0.05,4.8%,2.13,3.6%,560.5
10,0.1,0.1,fix allocation volume exit,0.1,0.05,4.8%,2.13,3.6%,560.5
10,0.15,0.1,fix allocation volume exit,0.1,0.05,4.7%,2.12,3.6%,556
20,0.1,0,fix allocation volume exit,0.2,0.03,4.8%,2.15,4.0%,550
10,0.05,0,constant,0.1,0.01,4.4%,2.15,2.4%,548
10,0.05,0,constant,0.1,0.03,4.4%,2.15,2.4%,548
10,0.05,0,constant,0.1,0.05,4.4%,2.15,2.4%,548
10,0.05,0,constant,0.15,0.01,4.4%,2.15,2.4%,548
10,0.05,0,constant,0.15,0.03,4.4%,2.15,2.4%,548
10,0.05,0,constant,0.15,0.05,4.4%,2.15,2.4%,548
10,0.05,0,constant,0.2,0.01,4.4%,2.15,2.4%,548
10,0.05,0,constant,0.2,0.03,4.4%,2.15,2.4%,548
10,0.05,0,constant,0.2,0.05,4.4%,2.15,2.4%,548
10,0.1,0.1,fix allocation volume exit,0.15,0.01,5.0%,2.00,3.8%,541
20,0.05,0,fix allocation volume exit,0.15,0.01,4.4%,2.19,3.5%,537
20,0.05,0.1,fix allocation volume exit,0.2,0.05,5.3%,1.97,4.6%,534
20,0.05,0,fix allocation volume exit,0.1,0.01,4.0%,2.35,2.4%,533
10,0.15,0.1,constant volume exit,0.1,0.01,5.0%,2.01,4.1%,530.5
10,0.15,0.1,constant volume exit,0.15,0.01,5.0%,2.01,4.1%,530.5
