,ITicker,Cusip,STicker,Name,Country,Currency_,OneTenth,SecType,ExchCtry,Exchange,Code
0,0000,87482X10,TLMR,TALMER BANCORP INC,NA,USD,0,S,NA,F,76305
1,0001,26878510,EPE,EP ENERGY CORP,NA,USD,,S,NA,A,76289
2,0004,02504D10,ACSF,AMERICAN CAPITAL SENIOR FLTG LTD,NA,USD,0,S,NA,F,76285
3,000R,14163310,CRCM,CARECOM INC,NA,USD,0,S,NA,A,76286
4,000V,28249U10,EIGR,EIGER BIOPHARMACEUTICALS INC,NA,USD,0,S,NA,F,76287
5,000Y,90400D10,RARE,ULTRAGENYX PHARMACEUTICAL INC,NA,USD,0,S,NA,S,76288
6,000Z,09072V40,BIOC,BIOCEPT INC,NA,USD,0,S,NA,H,76323
7,0011,G0702112,HELIQ,CHC GROUP LTD,NC,USD,0,S,NA,A,76316
8,0017,05211J10,ASPX,AUSPEX PHARMACEUTICALS INC,NA,USD,0,S,NA,F,76301
9,0018,28226B10,EGLTQ,EGALET CORP,NA,USD,0,S,NA,F,76293
10,001A,81776310,SESN,SESEN BIO INC,NA,USD,0,S,NA,F,76299
11,001C,04022120,ARGS,ARGOS THERAPEUTICS INC,NA,USD,0,S,NA,F,76302
12,001J,49926D10,KN,KNOWLES CORP,NA,USD,0,S,NA,A,76303
13,001K,45780R10,IBP,INSTALLED BUILDING PRODUCTS INC,NA,USD,0,S,NA,A,76306
14,001L,20602210,CNCE,CONCERT PHARMACEUTICALS INC,NA,USD,0,S,NA,F,76311
15,001M,45780L10,INGN,INOGEN INC,NA,USD,0,S,NA,S,76312
16,001N,74911910,QUOT,QUOTIENT TECHNOLOGY INC,NA,USD,0,S,NA,A,76313
17,001R,12640Y20,CSRE,CSR PLC,EX,USD,0,A,NA,S,76315
18,001X,75629F10,REPH,RECRO PHARMA INC,NA,USD,0,S,NA,H,76317
19,001Z,G5258J10,KING,KING DIGITAL ENTERTAINMENT PLC,EZ,USD,0,S,NA,A,76505
20,0024,46428739,ILF,ISHARES S & P LATIN AMERICA 40 I,,,,,,E,76322
21,002B,58471D10,MDNT,MOON RIVER STUDIOS INC,NA,USD,0,S,NA,U,76330
22,002G,14862Q10,CSLT,CASTLIGHT HEALTH INC,NA,USD,0,S,NA,A,76334
23,002J,70438V10,PCTY,PAYLOCITY HOLDING CORP,NA,USD,0,S,NA,S,76336
24,002L,02318Y10,AMBR,AMBER ROAD INC,NA,USD,0,S,NA,A,76340
25,002P,00212110,ATEN,A10 NETWORKS INC,NA,USD,0,S,NA,A,76344
26,002S,60786M10,MC,MOELIS  CO,NA,USD,0,S,NA,A,76348
27,002T,69007J10,OUT,OUTFRONT MEDIA INC,NA,USD,0,S,NA,A,76350
28,002U,94859610,WB,WEIBO CORP,FC,USD,0,A,NA,S,76351
29,002Y,G6583A10,NORD,NORD ANGLIA EDUCATION INC,FH,USD,0,S,NA,A,76360
30,0031,21887L10,CORI,CORIUM INTERNATIONAL INC,NA,USD,0,S,NA,F,76365
31,0033,68375Y10,OPWR,OPOWER INC,NA,USD,0,S,NA,A,76368
32,0039,50420D10,LQ,LA QUINTA,NA,USD,,S,NA,A,76373
33,003A,00548A10,ADMS,ADAMAS PHARMACEUTICALS INC,NA,USD,0,S,NA,F,76374
34,003D,09627J10,BRG,BLUEROCK RESIDNTL GRWTH REIT INC,NA,USD,0,S,NA,B,76379
35,003E,31154R10,FPI,FARMLAND PARTNERS INC,NA,USD,0,S,NA,A,76380
36,003F,89685A10,TRIV,TRIVASCULAR TECHNOLOGIES INC,NA,USD,0,S,NA,S,76383
37,003G,92847R10,VTL,VITAL THERAPIES INC,NA,USD,0,S,NA,S,76384
38,003H,70432V10,PAYC,PAYCOM SOFTWARE INC,NA,USD,0,S,NA,A,76386
39,003J,17858710,CIO,CITY OFFICE REIT INC,NC,USD,0,S,NA,A,76389
40,003K,71742Q10,PAHC,PHIBRO ANIMAL HEALTH CORP,NA,USD,,S,NA,F,76390
41,0040,G5559810,EVARF,LOMBARD MEDICAL INC,EX,USD,0,S,NA,F,76539
42,0041,78573M10,SABR,SABRE CORP,NA,USD,0,S,NA,S,76393
43,0042,Y2106R11,LPG,DORIAN LPG LTD,NA,USD,0,S,NA,A,76394
44,0044,Y8213L10,SEMI,SUNEDISON SEMI,NA,USD,,S,NA,S,76395
45,0045,70187710,PE,PARSLEY ENERGY INC,NA,USD,,S,NA,A,76396
46,004F,03990B10,ARES,ARES MANAGEMENT CORP,NA,USD,,S,NA,A,76401
47,004L,70324G10,PHM,PATIENT HOME MONITORING CORP,NC,CAD,0,S,NC,V,76406
48,004M,16307510,CMCM,CHEETAH MOBILE INC,FC,CNY,,A,NA,A,76411
49,004V,89977P10,TOUR,TUNIU CORP,FC,CNY,,A,NA,F,76416
50,004W,04041310,ANET,ARISTA NETWORKS INC,NA,USD,0,S,NA,A,76417
51,0051,98936J10,ZEN,ZENDESK INC,NA,USD,0,S,NA,A,76422
52,0055,89785L10,TRUE,TRUECAR INC,NA,USD,0,S,NA,S,76424
53,005H,42727J10,HRTG,HERITAGE INSURANCE HOLDINGS INC,NA,USD,0,S,NA,A,76427
54,005I,00847L10,AGRX,AGILE THERAPEUTICS INC,NA,USD,0,S,NA,F,76428
55,006E,76658A10,RIHT,RIGHTSCORP INC,NA,USD,0,S,NA,G,76443
56,006J,60739U20,MOBL,MOBILEIRON INC,NA,USD,0,S,NA,S,76445
57,006K,G0751N10,AY,ATLANTICA YIELD PLC,EX,USD,0,S,NA,S,76499
58,006M,04523Y10,ASPN,ASPEN AEROGELS INC,NA,USD,0,S,NA,A,76449
59,006Q,G6577210,NAO,NORDIC AMERICAN OFFSHORE LTD,NA,USD,0,S,NA,A,76450
60,006V,Q7362210,PARNF,PARNELL PHARMACEUTICALS HOLDINGS,AA,AUD,0,S,NA,F,76506
61,006W,15650430,CCS,CENTURY COMMUNITIES INC,NA,USD,0,S,NA,A,76454
62,006X,38268T10,GPRO,GOPRO INC,NA,USD,0,S,NA,S,76458
63,0070,75046920,RDUS,RADIUS HEALTH INC,NA,USD,0,S,NA,F,76462
